# step time Ekin Epot Etot T
2930 5.86 558.511 -109.292 449.219 2.77866
2940 5.88 563.893 -114.667 449.226 2.80544
2950 5.9 566.957 -117.735 449.222 2.82068
2960 5.92 559.973 -110.747 449.226 2.78594
2970 5.94 549.166 -99.9368 449.23 2.73217
2980 5.96 544.381 -95.1465 449.235 2.70836
2990 5.98 551.392 -102.162 449.229 2.74324
3000 6 562.577 -113.359 449.219 2.79889
3010 6.02 563.231 -113.997 449.234 2.80215
3020 6.04 569.213 -119.994 449.219 2.83191
3030 6.06 568.283 -119.061 449.223 2.82728
3040 6.08 562.034 -112.799 449.236 2.79619
3050 6.1 570.062 -120.84 449.221 2.83613
3060 6.12 570.102 -120.887 449.215 2.83633
3070 6.14 558.959 -109.723 449.235 2.78089
3080 6.16 556.494 -107.276 449.218 2.76863
3090 6.18 555.137 -105.901 449.235 2.76187
3100 6.2 567.092 -117.867 449.224 2.82135
3110 6.22 573.809 -124.584 449.226 2.85477
3120 6.24 570.889 -121.67 449.218 2.84024
3130 6.26 552.209 -102.982 449.228 2.74731
3140 6.28 539.675 -90.4334 449.242 2.68495
3150 6.3 548.8 -99.6011 449.199 2.73035
3160 6.32 543.452 -94.2202 449.232 2.70374
3170 6.34 551.409 -102.195 449.214 2.74333
3180 6.36 554.914 -105.694 449.22 2.76077
3190 6.38 552.73 -103.504 449.225 2.7499
3200 6.4 555.046 -105.819 449.227 2.76142
3210 6.42 555.071 -105.858 449.213 2.76155
3220 6.44 541.214 -91.9907 449.223 2.69261
3230 6.46 538.639 -89.4076 449.232 2.6798
3240 6.48 557.183 -107.966 449.217 2.77205
3250 6.5 566.592 -117.368 449.223 2.81886
3260 6.52 566.386 -117.153 449.233 2.81784
3270 6.54 567.332 -118.108 449.224 2.82255
3280 6.56 560.214 -110.981 449.232 2.78713
3290 6.58 560.294 -111.06 449.234 2.78753
3300 6.6 568.181 -118.964 449.217 2.82677
3310 6.62 562.02 -112.786 449.234 2.79612
3320 6.64 560.511 -111.279 449.232 2.78861
3330 6.66 564.884 -115.66 449.224 2.81037
3340 6.68 561.528 -112.313 449.215 2.79367
3350 6.7 548.308 -99.0592 449.249 2.7279
3360 6.72 555.795 -106.595 449.2 2.76515
3370 6.74 545.14 -95.9122 449.228 2.71214
3380 6.76 548.13 -98.905 449.225 2.72701
3390 6.78 563.427 -114.207 449.219 2.80312
3400 6.8 571.487 -122.259 449.228 2.84322
3410 6.82 578.03 -128.806 449.224 2.87577
3420 6.84 573.994 -124.76 449.234 2.85569
3430 6.86 572.009 -122.769 449.24 2.84581
3440 6.88 578.264 -129.034 449.229 2.87693
3450 6.9 581.084 -131.853 449.231 2.89097
3460 6.92 578.393 -129.18 449.213 2.87758
3470 6.94 557.11 -107.878 449.232 2.77169
3480 6.96 552.481 -103.267 449.213 2.74866
3490 6.98 559.615 -110.4 449.215 2.78415
3500 7 566.549 -117.336 449.213 2.81865
3510 7.02 566.529 -117.308 449.221 2.81855
3520 7.04 558.147 -108.936 449.211 2.77685
3530 7.06 548.503 -99.2776 449.226 2.72887
3540 7.08 549.69 -100.469 449.222 2.73478
3550 7.1 555.743 -106.522 449.222 2.76489
3560 7.12 565.614 -116.402 449.212 2.814
3570 7.14 564.212 -114.995 449.217 2.80703
3580 7.16 556.333 -107.092 449.24 2.76782
3590 7.18 562.549 -113.344 449.205 2.79875
3600 7.2 562.39 -113.158 449.232 2.79796
3610 7.22 568.435 -119.227 449.208 2.82803
3620 7.24 554.787 -105.565 449.222 2.76013
3630 7.26 543.301 -94.0559 449.245 2.70299
3640 7.28 560.312 -111.091 449.222 2.78762
3650 7.3 576.299 -127.079 449.22 2.86716
3660 7.32 581.343 -132.109 449.233 2.89225
3670 7.34 585.177 -135.95 449.227 2.91133
3680 7.36 580.655 -131.429 449.225 2.88883
3690 7.38 566.721 -117.485 449.237 2.81951
3700 7.4 561.592 -112.368 449.224 2.79399
3710 7.42 553.074 -103.871 449.203 2.75161
3720 7.44 533.996 -84.7451 449.251 2.6567
3730 7.46 551.281 -102.065 449.216 2.74269
3740 7.48 564.919 -115.71 449.208 2.81054
3750 7.5 555.884 -106.657 449.227 2.76559
3760 7.52 551.423 -102.2 449.223 2.7434
3770 7.54 552.692 -103.461 449.231 2.74971
3780 7.56 560.399 -111.188 449.212 2.78806
3790 7.58 567.492 -118.266 449.226 2.82334
3800 7.6 574.56 -125.338 449.222 2.85851
3810 7.62 568.952 -119.725 449.227 2.83061
3820 7.64 559.096 -109.867 449.23 2.78157
3830 7.66 555.902 -106.667 449.234 2.76568
3840 7.68 559.715 -110.505 449.21 2.78465
3850 7.7 550.955 -101.725 449.231 2.74107
3860 7.72 549.543 -100.316 449.227 2.73404
3870 7.74 555.886 -106.661 449.225 2.7656
3880 7.76 561.22 -111.989 449.231 2.79214
3890 7.78 568.87 -119.652 449.219 2.8302
3900 7.8 568.25 -119.025 449.226 2.82712
3910 7.82 560.076 -110.856 449.22 2.78645
3920 7.84 548.071 -98.8542 449.217 2.72672
3930 7.86 540.796 -91.5508 449.245 2.69053
3940 7.88 554.107 -104.901 449.207 2.75675
