# it time Tinst Tset
3800 7.6 1.42369 1.57899
3810 7.62 1.53879 1.57899
3820 7.64 1.75252 1.57403
3830 7.66 1.57723 1.57403
3840 7.68 1.41478 1.56908
3850 7.7 1.55915 1.56908
3860 7.72 1.68617 1.56412
3870 7.74 1.53919 1.56412
3880 7.76 1.44889 1.55916
3890 7.78 1.55949 1.55916
3900 7.8 1.63751 1.5542
3910 7.82 1.53754 1.5542
3920 7.84 1.4834 1.54924
3930 7.86 1.54948 1.54924
3940 7.88 1.58208 1.54429
3950 7.9 1.5351 1.54429
3960 7.92 1.51015 1.53933
3970 7.94 1.5125 1.53933
3980 7.96 1.53668 1.53437
3990 7.98 1.55134 1.53437
4000 8 1.50491 1.52941
4010 8.02 1.52481 1.52941
4020 8.04 1.55571 1.52445
4030 8.06 1.48524 1.52445
4040 8.08 1.47658 1.5195
4050 8.1 1.54098 1.5195
4060 8.12 1.53719 1.51454
4070 8.14 1.51028 1.51454
4080 8.16 1.48015 1.50958
4090 8.18 1.48892 1.50958
4100 8.2 1.51399 1.50462
4110 8.22 1.51116 1.50462
4120 8.24 1.46821 1.49966
4130 8.26 1.46545 1.49966
4140 8.28 1.50778 1.49471
4150 8.3 1.53 1.49471
4160 8.32 1.50085 1.48975
4170 8.34 1.43146 1.48975
4180 8.36 1.46664 1.48479
4190 8.38 1.53569 1.48479
4200 8.4 1.48302 1.47983
4210 8.42 1.40209 1.47983
4220 8.44 1.43458 1.47487
4230 8.46 1.53426 1.47487
4240 8.48 1.50999 1.46992
4250 8.5 1.42853 1.46992
4260 8.52 1.42007 1.46496
4270 8.54 1.45649 1.46496
4280 8.56 1.47051 1.46
4290 8.58 1.47063 1.46
4300 8.6 1.47171 1.45504
4310 8.62 1.43139 1.45504
4320 8.64 1.4038 1.45008
4330 8.66 1.44944 1.45008
4340 8.68 1.50382 1.44513
4350 8.7 1.43039 1.44513
4360 8.72 1.35076 1.44017
4370 8.74 1.40391 1.44017
4380 8.76 1.54193 1.43521
4390 8.78 1.48581 1.43521
4400 8.8 1.32983 1.43025
4410 8.82 1.33565 1.43025
4420 8.84 1.49532 1.42529
4430 8.86 1.51118 1.42529
4440 8.88 1.35155 1.42034
4450 8.9 1.34565 1.42034
4460 8.92 1.47858 1.41538
4470 8.94 1.46334 1.41538
4480 8.96 1.33158 1.41042
4490 8.98 1.34134 1.41042
4500 9 1.45945 1.40546
4510 9.02 1.47373 1.40546
4520 9.04 1.36543 1.4005
4530 9.06 1.31079 1.4005
4540 9.08 1.39014 1.39555
4550 9.1 1.45954 1.39555
4560 9.12 1.39433 1.39059
4570 9.14 1.337 1.39059
4580 9.16 1.39087 1.38563
4590 9.18 1.41796 1.38563
4600 9.2 1.34259 1.38067
4610 9.22 1.31932 1.38067
4620 9.24 1.42182 1.37571
4630 9.26 1.41577 1.37571
4640 9.28 1.30091 1.37076
4650 9.3 1.30306 1.37076
4660 9.32 1.50305 1.3658
4670 9.34 1.38165 1.3658
4680 9.36 1.2315 1.36084
4690 9.38 1.31184 1.36084
4700 9.4 1.46002 1.35588
4710 9.42 1.41234 1.35588
4720 9.44 1.26454 1.35092
4730 9.46 1.26401 1.35092
4740 9.48 1.37921 1.34597
4750 9.5 1.39409 1.34597
4760 9.52 1.34296 1.34101
4770 9.54 1.29775 1.34101
4780 9.56 1.32166 1.33605
4790 9.58 1.36103 1.33605
4800 9.6 1.3512 1.33109
4810 9.62 1.31731 1.33109
4820 9.64 1.29548 1.32613
4830 9.66 1.29631 1.32613
4840 9.68 1.31738 1.32118
4850 9.7 1.33852 1.32118
4860 9.72 1.32643 1.31622
4870 9.74 1.29249 1.31622
4880 9.76 1.28967 1.31126
4890 9.78 1.31062 1.31126
4900 9.8 1.32203 1.3063
4910 9.82 1.31084 1.3063
4920 9.84 1.28349 1.30134
4930 9.86 1.26915 1.30134
4940 9.88 1.29979 1.29639
4950 9.9 1.30996 1.29639
4960 9.92 1.27951 1.29143
4970 9.94 1.26813 1.29143
4980 9.96 1.29061 1.28647
4990 9.98 1.33526 1.28647
5000 10 1.2806 1.28151
5010 10.02 1.21312 1.28151
5020 10.04 1.23511 1.27655
5030 10.06 1.29513 1.27655
5040 10.08 1.32201 1.2716
5050 10.1 1.26151 1.2716
5060 10.12 1.21228 1.26664
5070 10.14 1.25848 1.26664
5080 10.16 1.30385 1.26168
5090 10.18 1.26176 1.26168
5100 10.2 1.21342 1.25672
5110 10.22 1.23819 1.25672
