# step time x y
5350 10.7 20.5791 6.64688
5360 10.72 20.5367 6.60189
5370 10.74 20.4954 6.55638
5380 10.76 20.4548 6.51037
5390 10.78 20.415 6.46387
5400 10.8 20.3758 6.41693
5410 10.82 20.3371 6.36956
5420 10.84 20.2989 6.3218
5430 10.86 20.2612 6.27368
5440 10.88 20.224 6.22521
5450 10.9 20.1872 6.17641
5460 10.92 20.1509 6.12728
5470 10.94 20.1151 6.07781
5480 10.96 20.0797 6.02798
5490 10.98 20.0448 5.97776
5500 11 20.0103 5.92712
5510 11.02 19.9763 5.87601
5520 11.04 19.9425 5.82437
5530 11.06 19.909 5.77211
5540 11.08 19.8757 5.71913
5550 11.1 19.8425 5.66532
5560 11.12 19.8093 5.61057
5570 11.14 19.7762 5.55484
5580 11.16 19.743 5.49825
5590 11.18 19.7099 5.4413
5600 11.2 19.6772 5.38527
5610 11.22 19.6452 5.33266
5620 11.24 19.6142 5.28691
5630 11.26 19.5838 5.25029
5640 11.28 19.5534 5.22185
5650 11.3 19.5224 5.19835
5660 11.32 19.4907 5.1768
5670 11.34 19.4591 5.15543
5680 11.36 19.4292 5.13333
5690 11.38 19.4042 5.10976
5700 11.4 19.3883 5.08375
5710 11.42 19.3836 5.05437
5720 11.44 19.3878 5.02177
5730 11.46 19.3967 4.987
5740 11.48 19.4073 4.95114
5750 11.5 19.4181 4.91485
5760 11.52 19.4285 4.87848
5770 11.54 19.4385 4.84216
5780 11.56 19.4482 4.80591
5790 11.58 19.4576 4.76973
5800 11.6 19.4669 4.73356
5810 11.62 19.4762 4.69731
5820 11.64 19.4856 4.66089
5830 11.66 19.4951 4.6242
5840 11.68 19.5047 4.58716
5850 11.7 19.5146 4.54968
5860 11.72 19.5245 4.51166
5870 11.74 19.5345 4.47306
5880 11.76 19.5445 4.43382
5890 11.78 19.5545 4.39404
5900 11.8 19.5652 4.35404
5910 11.82 19.5789 4.31467
5920 11.84 19.601 4.2775
5930 11.86 19.6385 4.24383
5940 11.88 19.6925 4.21303
5950 11.9 19.7569 4.18346
5960 11.92 19.8254 4.1543
5970 11.94 19.8953 4.12541
5980 11.96 19.9657 4.09689
5990 11.98 20.0366 4.06882
6000 12 20.1079 4.0412
6010 12.02 20.1798 4.01396
6020 12.04 20.252 3.98699
6030 12.06 20.3243 3.96023
6040 12.08 20.3961 3.9337
6050 12.1 20.4664 3.90759
6060 12.12 20.5338 3.88217
6070 12.14 20.5969 3.85762
6080 12.16 20.6551 3.83397
6090 12.18 20.7085 3.81103
6100 12.2 20.7586 3.78857
6110 12.22 20.8065 3.76636
6120 12.24 20.8536 3.74421
6130 12.26 20.9005 3.72194
6140 12.28 20.9477 3.6994
6150 12.3 20.9954 3.67646
6160 12.32 21.0438 3.65325
6170 12.34 21.0931 3.63031
6180 12.36 21.1438 3.60891
6190 12.38 21.1969 3.59102
6200 12.4 21.2537 3.57843
6210 12.42 21.3148 3.57124
6220 12.44 21.3797 3.56776
6230 12.46 21.4472 3.56586
6240 12.48 21.5159 3.56423
6250 12.5 21.585 3.56271
6260 12.52 21.6535 3.56222
6270 12.54 21.7206 3.56471
6280 12.56 21.7858 3.57262
6290 12.58 21.8488 3.58756
6300 12.6 21.9102 3.60909
6310 12.62 21.9709 3.63511
6320 12.64 22.0316 3.66338
6330 12.66 22.0928 3.69234
6340 12.68 22.1547 3.72113
6350 12.7 22.2174 3.74938
6360 12.72 22.2809 3.77699
6370 12.74 22.3451 3.80397
6380 12.76 22.4101 3.83042
6390 12.78 22.4758 3.85647
6400 12.8 22.5419 3.88229
6410 12.82 22.6083 3.90805
6420 12.84 22.6746 3.9339
6430 12.86 22.7404 3.95999
6440 12.88 22.8051 3.98632
6450 12.9 22.8686 4.01246
6460 12.92 22.9319 4.0369
6470 12.94 22.998 4.05592
6480 12.96 23.0701 4.06414
6490 12.98 23.1423 4.05872
6500 13 23.2013 4.0403
6510 13.02 23.2479 4.01183
6520 13.04 23.2915 3.97819
6530 13.06 23.3357 3.94276
6540 13.08 23.3809 3.90696
6550 13.1 23.4266 3.87112
6560 13.12 23.4724 3.83518
6570 13.14 23.5181 3.79896
6580 13.16 23.5636 3.7623
6590 13.18 23.6088 3.72514
6600 13.2 23.6535 3.68755
6610 13.22 23.6974 3.65024
6620 13.24 23.7395 3.61626
6630 13.26 23.7769 3.59518
6640 13.28 23.8064 3.60238
6650 13.3 23.8283 3.63913
6660 13.32 23.8461 3.69052
6670 13.34 23.8621 3.74594
6680 13.36 23.8773 3.80156
6690 13.38 23.8927 3.85628
6700 13.4 23.9106 3.90978
6710 13.42 23.9341 3.96229
6720 13.44 23.9652 4.01463
6730 13.46 24.0023 4.06745
6740 13.48 24.0422 4.12067
6750 13.5 24.0826 4.17382
6760 13.52 24.1224 4.22655
6770 13.54 24.1613 4.27873
6780 13.56 24.1994 4.3304
6790 13.58 24.2369 4.38162
6800 13.6 24.2739 4.43251
6810 13.62 24.3104 4.48316
6820 13.64 24.3467 4.53366
6830 13.66 24.3826 4.58405
6840 13.68 24.4183 4.63441
6850 13.7 24.4538 4.68478
6860 13.72 24.489 4.73519
6870 13.74 24.5239 4.78568
6880 13.76 24.5586 4.83627
6890 13.78 24.5929 4.88702
6900 13.8 24.627 4.93793
6910 13.82 24.6607 4.98906
6920 13.84 24.6941 5.04046
6930 13.86 24.727 5.09218
6940 13.88 24.7595 5.14433
6950 13.9 24.7915 5.19703
6960 13.92 24.8231 5.25046
6970 13.94 24.8541 5.30487
6980 13.96 24.8845 5.36051
6990 13.98 24.9142 5.41742
7000 14 24.943 5.47456
7010 14.02 24.97 5.52679
7020 14.04 24.9938 5.5612
7030 14.06 0.0134273 5.5691
7040 14.08 0.0299244 5.56102
7050 14.1 0.0446885 5.54865
7060 14.12 0.058291 5.53627
7070 14.14 0.0708102 5.52478
7080 14.16 0.0821871 5.51411
7090 14.18 0.0924 5.50404
7100 14.2 0.101618 5.49455
7110 14.22 0.11046 5.48623
7120 14.24 0.120437 5.48093
7130 14.26 0.134228 5.48245
7140 14.28 0.154474 5.49523
7150 14.3 0.181067 5.51999
7160 14.32 0.211241 5.55277
7170 14.34 0.242398 5.58913
7180 14.36 0.273213 5.62645
7190 14.38 0.303217 5.66359
7200 14.4 0.33232 5.7002
7210 14.42 0.360567 5.73624
7220 14.44 0.388046 5.77181
7230 14.46 0.41485 5.80706
7240 14.48 0.441069 5.84215
7250 14.5 0.466787 5.8773
7260 14.52 0.492083 5.91269
7270 14.54 0.517027 5.94856
7280 14.56 0.541674 5.98511
7290 14.58 0.566039 6.0224
7300 14.6 0.590064 6.05997
7310 14.62 0.613584 6.09585
7320 14.64 0.636439 6.12468
7330 14.66 0.658981 6.13792
7340 14.68 0.682166 6.13235
7350 14.7 0.706331 6.11493
7360 14.72 0.731039 6.0934
7370 14.74 0.755895 6.07155
7380 14.76 0.780781 6.05065
7390 14.78 0.805755 6.03102
7400 14.8 0.830923 6.01272
7410 14.82 0.8563 5.99565
7420 14.84 0.881616 5.97945
7430 14.86 0.906065 5.96294
7440 14.88 0.92826 5.94351
7450 14.9 0.947026 5.91768
7460 14.92 0.962655 5.88403
7470 14.94 0.976552 5.84467
7480 14.96 0.989779 5.80268
7490 14.98 1.00275 5.75994
7500 15 1.01559 5.71725
7510 15.02 1.02834 5.6749
7520 15.04 1.04101 5.63292
7530 15.06 1.05361 5.5912
7540 15.08 1.06613 5.54952
7550 15.1 1.07857 5.50769
7560 15.12 1.09097 5.46597
7570 15.14 1.10367 5.42638
7580 15.16 1.11802 5.39611
7590 15.18 1.13708 5.38856
7600 15.2 1.16232 5.40713
7610 15.22 1.19104 5.43919
7620 15.24 1.22054 5.47491
7630 15.26 1.24964 5.51095
7640 15.28 1.27791 5.54658
7650 15.3 1.30519 5.58171
7660 15.32 1.33143 5.61629
7670 15.34 1.35671 5.65013
7680 15.36 1.38122 5.68294
7690 15.38 1.40526 5.71436
7700 15.4 1.42918 5.74413
7710 15.42 1.45321 5.77217
7720 15.44 1.47737 5.79862
7730 15.46 1.50143 5.82379
7740 15.48 1.52504 5.84795
7750 15.5 1.54781 5.87129
7760 15.52 1.56941 5.89388
7770 15.54 1.58965 5.91564
7780 15.56 1.60843 5.93648
7790 15.58 1.62573 5.95625
7800 15.6 1.64158 5.97491
7810 15.62 1.65623 5.99246
7820 15.64 1.67107 6.00884
7830 15.66 1.69011 6.02406
7840 15.68 1.72061 6.03862
7850 15.7 1.76815 6.05309
7860 15.72 1.83039 6.06738
7870 15.74 1.90023 6.08125
7880 15.76 1.97245 6.09469
7890 15.78 2.04477 6.1078
7900 15.8 2.11653 6.12059
7910 15.82 2.18767 6.13308
7920 15.84 2.2584 6.1452
7930 15.86 2.32901 6.15689
7940 15.88 2.39978 6.1681
7950 15.9 2.47099 6.17884
7960 15.92 2.54268 6.18944
7970 15.94 2.61409 6.20104
7980 15.96 2.68203 6.21686
7990 15.98 2.7378 6.24231
8000 16 2.76347 6.27372
8010 16.02 2.73376 6.28686
8020 16.04 2.66608 6.28221
