# step time Ekin Epot Etot T
5710 11.42 504.253 -116.955 387.298 2.52126
5720 11.44 504.041 -125.432 378.61 2.52021
5730 11.46 504.188 -126.349 377.839 2.52094
5740 11.48 504.177 -125.589 378.587 2.52088
5750 11.5 504.302 -126.431 377.871 2.52151
5760 11.52 503.861 -126.047 377.814 2.51931
5770 11.54 504.349 -121.27 383.079 2.52174
5780 11.56 503.796 -114.495 389.301 2.51898
5790 11.58 504.39 -103.296 401.094 2.52195
5800 11.6 504.39 -105.426 398.964 2.52195
5810 11.62 504.523 -115.658 388.865 2.52262
5820 11.64 503.737 -127.742 375.996 2.51869
5830 11.66 503.525 -122.11 381.416 2.51763
5840 11.68 506.402 -100.249 406.152 2.53201
5850 11.7 503.441 -109.14 394.301 2.5172
5860 11.72 503.915 -109.694 394.221 2.51957
5870 11.74 505.362 -110.872 394.49 2.52681
5880 11.76 503.665 -128.893 374.772 2.51833
5890 11.78 504.078 -133.614 370.464 2.52039
5900 11.8 504.071 -129.49 374.581 2.52035
5910 11.82 504.105 -117.829 386.276 2.52053
5920 11.84 503.943 -102.218 401.725 2.51972
5930 11.86 505.103 -87.5969 417.506 2.52552
5940 11.88 504.117 -90.6452 413.472 2.52059
5950 11.9 504.823 -104.548 400.275 2.52412
5960 11.92 503.589 -122.517 381.072 2.51794
5970 11.94 504.671 -123.433 381.238 2.52336
5980 11.96 503.893 -130.993 372.9 2.51946
5990 11.98 503.972 -128.649 375.323 2.51986
6000 12 504.253 -118.119 386.134 2.52126
6010 12.02 503.445 -102.453 400.992 2.51723
6020 12.04 506.29 -90.6686 415.621 2.53145
6030 12.06 504.402 -100.967 403.435 2.52201
6040 12.08 505.035 -95.7693 409.266 2.52518
6050 12.1 504.234 -100.925 403.308 2.52117
6060 12.12 504.781 -109.027 395.754 2.52391
6070 12.14 503.802 -126.666 377.136 2.51901
6080 12.16 503.603 -132.598 371.004 2.51801
6090 12.18 503.803 -115.13 388.674 2.51902
6100 12.2 505.042 -93.0539 411.988 2.52521
6110 12.22 504.599 -95.7514 408.847 2.52299
6120 12.24 503.866 -106.331 397.535 2.51933
6130 12.26 504.25 -110.112 394.139 2.52125
6140 12.28 504.272 -107.251 397.021 2.52136
6150 12.3 504.533 -110.908 393.625 2.52267
6160 12.32 503.996 -126.44 377.556 2.51998
6170 12.34 503.899 -134.094 369.805 2.51949
6180 12.36 503.597 -127.332 376.264 2.51798
6190 12.38 504.658 -99.4367 405.221 2.52329
6200 12.4 502.642 -93.1722 409.47 2.51321
6210 12.42 504.903 -93.3168 411.586 2.52451
6220 12.44 502.926 -94.6046 408.322 2.51463
6230 12.46 506.111 -93.7981 412.313 2.53056
6240 12.48 503.959 -121.884 382.075 2.5198
6250 12.5 503.893 -122.692 381.201 2.51946
6260 12.52 504.678 -107.77 396.908 2.52339
6270 12.54 504.429 -106.528 397.901 2.52215
6280 12.56 503.898 -111.651 392.247 2.51949
6290 12.58 504.002 -116.248 387.754 2.52001
6300 12.6 504.158 -121.656 382.502 2.52079
6310 12.62 504 -124.846 379.153 2.52
6320 12.64 503.951 -121.647 382.304 2.51976
6330 12.66 504.493 -111.482 393.011 2.52246
6340 12.68 504.104 -110.4 393.704 2.52052
6350 12.7 503.757 -106.62 397.138 2.51879
6360 12.72 505.424 -92.9658 412.458 2.52712
6370 12.74 503.395 -102.532 400.863 2.51698
6380 12.76 505.318 -101.483 403.835 2.52659
6390 12.78 504.007 -113.86 390.146 2.52003
6400 12.8 503.568 -117.946 385.622 2.51784
6410 12.82 504.573 -111.818 392.754 2.52286
6420 12.84 503.978 -107.787 396.192 2.51989
6430 12.86 504.38 -99.7794 404.6 2.5219
6440 12.88 506.935 -84.7015 422.233 2.53467
6450 12.9 501.603 -111.182 390.421 2.50801
6460 12.92 503.706 -112.691 391.015 2.51853
6470 12.94 504.042 -111.765 392.278 2.52021
6480 12.96 504.036 -111.305 392.731 2.52018
6490 12.98 504.634 -111.793 392.841 2.52317
6500 13 504.147 -119.914 384.233 2.52074
6510 13.02 504.054 -125.646 378.408 2.52027
6520 13.04 504.086 -125.177 378.91 2.52043
6530 13.06 504.407 -122.371 382.037 2.52204
6540 13.08 504.182 -124.394 379.788 2.52091
6550 13.1 504.118 -126.187 377.931 2.52059
6560 13.12 503.793 -123.894 379.9 2.51897
6570 13.14 504.494 -106.008 398.486 2.52247
6580 13.16 504.338 -104.567 399.771 2.52169
6590 13.18 503.616 -115.229 388.387 2.51808
6600 13.2 503.672 -98.8316 404.84 2.51836
6610 13.22 503.376 -80.9974 422.378 2.51688
6620 13.24 504.268 -76.931 427.337 2.52134
6630 13.26 503.338 -91.7645 411.574 2.51669
6640 13.28 504.392 -106.305 398.086 2.52196
6650 13.3 503.714 -127.606 376.108 2.51857
6660 13.32 503.57 -134.956 368.614 2.51785
6670 13.34 504.314 -120.265 384.048 2.52157
6680 13.36 504.266 -113.511 390.755 2.52133
6690 13.38 504.098 -112.878 391.22 2.52049
6700 13.4 504.478 -110.317 394.161 2.52239
6710 13.42 504.019 -115.697 388.321 2.52009
6720 13.44 503.902 -115.731 388.171 2.51951
6730 13.46 504.737 -113.575 391.162 2.52369
6740 13.48 503.625 -125.922 377.703 2.51813
6750 13.5 503.694 -121.13 382.564 2.51847
6760 13.52 505.575 -105.201 400.374 2.52788
6770 13.54 504.405 -108.809 395.596 2.52202
6780 13.56 504.164 -115.014 389.15 2.52082
6790 13.58 504.217 -120.876 383.341 2.52108
6800 13.6 504.045 -124.823 379.222 2.52023
6810 13.62 504.806 -118.934 385.872 2.52403
6820 13.64 502.874 -122.018 380.856 2.51437
6830 13.66 504.96 -115.495 389.465 2.5248
6840 13.68 503.5 -121.262 382.238 2.5175
6850 13.7 504.366 -116.649 387.717 2.52183
6860 13.72 504.396 -117.467 386.928 2.52198
6870 13.74 503.655 -120.155 383.5 2.51827
6880 13.76 504.068 -112.66 391.408 2.52034
6890 13.78 505.496 -107.475 398.021 2.52748
6900 13.8 504.294 -115.188 389.106 2.52147
6910 13.82 504.273 -118.457 385.816 2.52137
6920 13.84 503.939 -118.819 385.12 2.5197
6930 13.86 504.339 -112.511 391.828 2.52169
6940 13.88 504.391 -113.138 391.253 2.52196
