# it time Tinst Tset
2300 4.6 2.47575 2.46647
2310 4.62 2.54967 2.46647
2320 4.64 2.32818 2.46647
2330 4.66 2.52478 2.46647
2340 4.68 2.51418 2.46647
2350 4.7 2.32222 2.46647
2360 4.72 2.47411 2.46647
2370 4.74 2.54178 2.46647
2380 4.76 2.38145 2.46647
2390 4.78 2.45302 2.46647
2400 4.8 2.53474 2.46151
2410 4.82 2.38102 2.46151
2420 4.84 2.39965 2.46151
2430 4.86 2.5453 2.46151
2440 4.88 2.41675 2.46151
2450 4.9 2.40889 2.46151
2460 4.92 2.5278 2.46151
2470 4.94 2.4051 2.46151
2480 4.96 2.41993 2.46151
2490 4.98 2.49939 2.46151
2500 5 2.42881 2.46151
2510 5.02 2.42342 2.46151
2520 5.04 2.5046 2.46151
2530 5.06 2.41465 2.46151
2540 5.08 2.3908 2.46151
2550 5.1 2.5793 2.46151
2560 5.12 2.41679 2.46151
2570 5.14 2.33084 2.46151
2580 5.16 2.55457 2.46151
2590 5.18 2.4905 2.46151
2600 5.2 2.316 2.45655
2610 5.22 2.49744 2.45655
2620 5.24 2.5228 2.45655
2630 5.26 2.32148 2.45655
2640 5.28 2.51727 2.45655
2650 5.3 2.43144 2.45655
2660 5.32 2.42312 2.45655
2670 5.34 2.52329 2.45655
2680 5.36 2.3785 2.45655
2690 5.38 2.40017 2.45655
2700 5.4 2.53226 2.45655
2710 5.42 2.39856 2.45655
2720 5.44 2.39205 2.45655
2730 5.46 2.56979 2.45655
2740 5.48 2.41004 2.45655
2750 5.5 2.34426 2.45655
2760 5.52 2.51429 2.45655
2770 5.54 2.48788 2.45655
2780 5.56 2.3687 2.45655
2790 5.58 2.46867 2.45655
2800 5.6 2.47489 2.4516
2810 5.62 2.35742 2.4516
2820 5.64 2.50336 2.4516
2830 5.66 2.49258 2.4516
2840 5.68 2.33657 2.4516
2850 5.7 2.46905 2.4516
2860 5.72 2.48987 2.4516
2870 5.74 2.37501 2.4516
2880 5.76 2.45104 2.4516
2890 5.78 2.48177 2.4516
2900 5.8 2.3883 2.4516
2910 5.82 2.42872 2.4516
2920 5.84 2.50487 2.4516
2930 5.86 2.39299 2.4516
2940 5.88 2.40991 2.4516
2950 5.9 2.55007 2.4516
2960 5.92 2.35708 2.4516
2970 5.94 2.38063 2.4516
2980 5.96 2.58833 2.4516
2990 5.98 2.41342 2.4516
3000 6 2.28451 2.44664
3010 6.02 2.56757 2.44664
3020 6.04 2.46293 2.44664
3030 6.06 2.28405 2.44664
3040 6.08 2.5229 2.44664
3050 6.1 2.52645 2.44664
3060 6.12 2.32916 2.44664
3070 6.14 2.41273 2.44664
3080 6.16 2.51304 2.44664
3090 6.18 2.38116 2.44664
3100 6.2 2.42495 2.44664
3110 6.22 2.44994 2.44664
3120 6.24 2.42673 2.44664
3130 6.26 2.46486 2.44664
3140 6.28 2.45408 2.44664
3150 6.3 2.39193 2.44664
3160 6.32 2.4144 2.44664
3170 6.34 2.47196 2.44664
3180 6.36 2.40653 2.44664
3190 6.38 2.4396 2.44664
3200 6.4 2.4694 2.44168
3210 6.42 2.39861 2.44168
3220 6.44 2.43322 2.44168
3230 6.46 2.44036 2.44168
3240 6.48 2.40599 2.44168
3250 6.5 2.42165 2.44168
3260 6.52 2.47085 2.44168
3270 6.54 2.4371 2.44168
3280 6.56 2.3635 2.44168
3290 6.58 2.47466 2.44168
3300 6.6 2.45398 2.44168
3310 6.62 2.36873 2.44168
3320 6.64 2.44511 2.44168
3330 6.66 2.46649 2.44168
3340 6.68 2.40635 2.44168
3350 6.7 2.41544 2.44168
3360 6.72 2.46406 2.44168
3370 6.74 2.4258 2.44168
3380 6.76 2.33535 2.44168
3390 6.78 2.54192 2.44168
3400 6.8 2.45971 2.43672
3410 6.82 2.27196 2.43672
3420 6.84 2.49669 2.43672
3430 6.86 2.50434 2.43672
3440 6.88 2.31991 2.43672
3450 6.9 2.45222 2.43672
3460 6.92 2.49775 2.43672
3470 6.94 2.33071 2.43672
3480 6.96 2.43013 2.43672
3490 6.98 2.47119 2.43672
3500 7 2.41204 2.43672
3510 7.02 2.42585 2.43672
3520 7.04 2.37707 2.43672
3530 7.06 2.44953 2.43672
3540 7.08 2.49629 2.43672
3550 7.1 2.3519 2.43672
3560 7.12 2.40421 2.43672
3570 7.14 2.49897 2.43672
3580 7.16 2.40492 2.43672
3590 7.18 2.34827 2.43672
3600 7.2 2.50508 2.43176
3610 7.22 2.44582 2.43176
3620 7.24 2.26511 2.43176
3630 7.26 2.57089 2.43176
3640 7.28 2.44125 2.43176
3650 7.3 2.27093 2.43176
3660 7.32 2.48892 2.43176
3670 7.34 2.48312 2.43176
3680 7.36 2.3125 2.43176
3690 7.38 2.47799 2.43176
3700 7.4 2.50066 2.43176
3710 7.42 2.26846 2.43176
3720 7.44 2.44531 2.43176
3730 7.46 2.53434 2.43176
3740 7.48 2.2961 2.43176
3750 7.5 2.45064 2.43176
3760 7.52 2.4856 2.43176
3770 7.54 2.3528 2.43176
3780 7.56 2.41371 2.43176
3790 7.58 2.4877 2.43176
3800 7.6 2.36857 2.42681
3810 7.62 2.39971 2.42681
3820 7.64 2.45363 2.42681
3830 7.66 2.38191 2.42681
3840 7.68 2.42169 2.42681
3850 7.7 2.43497 2.42681
3860 7.72 2.41067 2.42681
3870 7.74 2.40842 2.42681
3880 7.76 2.40312 2.42681
3890 7.78 2.39645 2.42681
3900 7.8 2.45004 2.42681
3910 7.82 2.43914 2.42681
3920 7.84 2.34999 2.42681
3930 7.86 2.43627 2.42681
3940 7.88 2.49268 2.42681
3950 7.9 2.29656 2.42681
3960 7.92 2.39798 2.42681
3970 7.94 2.54479 2.42681
3980 7.96 2.36516 2.42681
3990 7.98 2.36987 2.42681
4000 8 2.48833 2.42185
4010 8.02 2.36789 2.42185
4020 8.04 2.35541 2.42185
4030 8.06 2.47922 2.42185
4040 8.08 2.39389 2.42185
4050 8.1 2.39682 2.42185
4060 8.12 2.43325 2.42185
4070 8.14 2.40912 2.42185
4080 8.16 2.38292 2.42185
4090 8.18 2.39954 2.42185
4100 8.2 2.43687 2.42185
4110 8.22 2.41313 2.42185
4120 8.24 2.42424 2.42185
4130 8.26 2.36801 2.42185
4140 8.28 2.41858 2.42185
4150 8.3 2.45774 2.42185
4160 8.32 2.34668 2.42185
4170 8.34 2.42294 2.42185
4180 8.36 2.45751 2.42185
4190 8.38 2.31031 2.42185
4200 8.4 2.488 2.41689
4210 8.42 2.4873 2.41689
4220 8.44 2.2588 2.41689
4230 8.46 2.42818 2.41689
4240 8.48 2.49241 2.41689
4250 8.5 2.29985 2.41689
4260 8.52 2.42497 2.41689
4270 8.54 2.48563 2.41689
4280 8.56 2.29842 2.41689
4290 8.58 2.41722 2.41689
4300 8.6 2.51062 2.41689
4310 8.62 2.2682 2.41689
4320 8.64 2.42739 2.41689
4330 8.66 2.5764 2.41689
4340 8.68 2.27144 2.41689
4350 8.7 2.32121 2.41689
4360 8.72 2.53161 2.41689
4370 8.74 2.39812 2.41689
4380 8.76 2.34508 2.41689
4390 8.78 2.46001 2.41689
4400 8.8 2.3831 2.41193
4410 8.82 2.3059 2.41193
4420 8.84 2.52663 2.41193
4430 8.86 2.43809 2.41193
4440 8.88 2.27713 2.41193
4450 8.9 2.44168 2.41193
4460 8.92 2.42895 2.41193
4470 8.94 2.32595 2.41193
4480 8.96 2.44466 2.41193
4490 8.98 2.4576 2.41193
4500 9 2.29708 2.41193
4510 9.02 2.39272 2.41193
4520 9.04 2.51044 2.41193
4530 9.06 2.34717 2.41193
4540 9.08 2.33395 2.41193
4550 9.1 2.49714 2.41193
4560 9.12 2.39988 2.41193
4570 9.14 2.32538 2.41193
4580 9.16 2.45977 2.41193
4590 9.18 2.36093 2.41193
4600 9.2 2.39651 2.40697
4610 9.22 2.48137 2.40697
4620 9.24 2.29319 2.40697
4630 9.26 2.3856 2.40697
4640 9.28 2.51509 2.40697
4650 9.3 2.30694 2.40697
4660 9.32 2.3305 2.40697
4670 9.34 2.5093 2.40697
4680 9.36 2.38656 2.40697
4690 9.38 2.30964 2.40697
4700 9.4 2.49868 2.40697
4710 9.42 2.39188 2.40697
4720 9.44 2.2625 2.40697
4730 9.46 2.48533 2.40697
4740 9.48 2.44281 2.40697
4750 9.5 2.26499 2.40697
4760 9.52 2.48433 2.40697
4770 9.54 2.4817 2.40697
4780 9.56 2.25753 2.40697
4790 9.58 2.39368 2.40697
4800 9.6 2.47567 2.40202
4810 9.62 2.31067 2.40202
4820 9.64 2.39305 2.40202
4830 9.66 2.47866 2.40202
4840 9.68 2.32182 2.40202
4850 9.7 2.42404 2.40202
4860 9.72 2.38786 2.40202
4870 9.74 2.31507 2.40202
4880 9.76 2.42587 2.40202
4890 9.78 2.45922 2.40202
4900 9.8 2.3408 2.40202
4910 9.82 2.38311 2.40202
4920 9.84 2.41292 2.40202
4930 9.86 2.36491 2.40202
4940 9.88 2.38178 2.40202
4950 9.9 2.4338 2.40202
4960 9.92 2.35927 2.40202
4970 9.94 2.33486 2.40202
4980 9.96 2.45419 2.40202
4990 9.98 2.42385 2.40202
5000 10 2.34199 2.39706
5010 10.02 2.37681 2.39706
5020 10.04 2.43228 2.39706
5030 10.06 2.34531 2.39706
5040 10.08 2.37127 2.39706
5050 10.1 2.42805 2.39706
5060 10.12 2.38042 2.39706
5070 10.14 2.33585 2.39706
5080 10.16 2.3903 2.39706
5090 10.18 2.41266 2.39706
5100 10.2 2.39497 2.39706
5110 10.22 2.36325 2.39706
5120 10.24 2.40721 2.39706
5130 10.26 2.38066 2.39706
5140 10.28 2.34546 2.39706
5150 10.3 2.45902 2.39706
5160 10.32 2.36978 2.39706
5170 10.34 2.29562 2.39706
5180 10.36 2.48028 2.39706
5190 10.38 2.39573 2.39706
5200 10.4 2.25149 2.3921
5210 10.42 2.48829 2.3921
5220 10.44 2.43497 2.3921
5230 10.46 2.22816 2.3921
5240 10.48 2.44344 2.3921
5250 10.5 2.49184 2.3921
5260 10.52 2.24397 2.3921
5270 10.54 2.40198 2.3921
5280 10.56 2.42651 2.3921
5290 10.58 2.30617 2.3921
5300 10.6 2.42114 2.3921
5310 10.62 2.35299 2.3921
5320 10.64 2.42213 2.3921
5330 10.66 2.45884 2.3921
5340 10.68 2.27662 2.3921
5350 10.7 2.33406 2.3921
5360 10.72 2.46413 2.3921
5370 10.74 2.39154 2.3921
5380 10.76 2.33169 2.3921
5390 10.78 2.38112 2.3921
5400 10.8 2.39647 2.38714
5410 10.82 2.33363 2.38714
5420 10.84 2.43262 2.38714
5430 10.86 2.3986 2.38714
5440 10.88 2.2776 2.38714
5450 10.9 2.41178 2.38714
5460 10.92 2.4109 2.38714
5470 10.94 2.31222 2.38714
5480 10.96 2.47912 2.38714
5490 10.98 2.2762 2.38714
5500 11 2.37887 2.38714
5510 11.02 2.49775 2.38714
5520 11.04 2.24419 2.38714
5530 11.06 2.35311 2.38714
5540 11.08 2.4937 2.38714
5550 11.1 2.30433 2.38714
5560 11.12 2.38952 2.38714
5570 11.14 2.40301 2.38714
5580 11.16 2.37808 2.38714
5590 11.18 2.33788 2.38714
5600 11.2 2.36059 2.38218
5610 11.22 2.36943 2.38218
5620 11.24 2.38747 2.38218
5630 11.26 2.35913 2.38218
5640 11.28 2.37733 2.38218
5650 11.3 2.41765 2.38218
5660 11.32 2.32369 2.38218
5670 11.34 2.3229 2.38218
5680 11.36 2.45917 2.38218
5690 11.38 2.39395 2.38218
5700 11.4 2.25238 2.38218
5710 11.42 2.39099 2.38218
5720 11.44 2.44843 2.38218
5730 11.46 2.33922 2.38218
5740 11.48 2.30255 2.38218
5750 11.5 2.47393 2.38218
5760 11.52 2.38335 2.38218
5770 11.54 2.21689 2.38218
5780 11.56 2.48843 2.38218
5790 11.58 2.41225 2.38218
5800 11.6 2.23373 2.37723
5810 11.62 2.44295 2.37723
5820 11.64 2.40257 2.37723
5830 11.66 2.24221 2.37723
5840 11.68 2.44371 2.37723
5850 11.7 2.44562 2.37723
5860 11.72 2.19916 2.37723
5870 11.74 2.43277 2.37723
5880 11.76 2.4716 2.37723
5890 11.78 2.24952 2.37723
5900 11.8 2.35162 2.37723
5910 11.82 2.45575 2.37723
5920 11.84 2.29603 2.37723
5930 11.86 2.3641 2.37723
5940 11.88 2.41715 2.37723
5950 11.9 2.28872 2.37723
5960 11.92 2.40394 2.37723
5970 11.94 2.43834 2.37723
5980 11.96 2.27822 2.37723
5990 11.98 2.33616 2.37723
6000 12 2.44989 2.37227
6010 12.02 2.31101 2.37227
6020 12.04 2.30167 2.37227
6030 12.06 2.50718 2.37227
6040 12.08 2.34023 2.37227
6050 12.1 2.22481 2.37227
6060 12.12 2.43251 2.37227
6070 12.14 2.43549 2.37227
6080 12.16 2.25039 2.37227
6090 12.18 2.31097 2.37227
6100 12.2 2.5081 2.37227
6110 12.22 2.39048 2.37227
6120 12.24 2.22238 2.37227
6130 12.26 2.35152 2.37227
6140 12.28 2.47359 2.37227
6150 12.3 2.30598 2.37227
6160 12.32 2.3232 2.37227
6170 12.34 2.45879 2.37227
6180 12.36 2.27554 2.37227
6190 12.38 2.32335 2.37227
6200 12.4 2.48061 2.36731
6210 12.42 2.32826 2.36731
6220 12.44 2.29949 2.36731
6230 12.46 2.37213 2.36731
6240 12.48 2.40189 2.36731
6250 12.5 2.32533 2.36731
6260 12.52 2.3193 2.36731
6270 12.54 2.38228 2.36731
6280 12.56 2.36657 2.36731
6290 12.58 2.32788 2.36731
6300 12.6 2.3809 2.36731
6310 12.62 2.35981 2.36731
6320 12.64 2.29862 2.36731
6330 12.66 2.39804 2.36731
6340 12.68 2.40521 2.36731
6350 12.7 2.30715 2.36731
6360 12.72 2.34454 2.36731
6370 12.74 2.38785 2.36731
6380 12.76 2.33347 2.36731
6390 12.78 2.33221 2.36731
6400 12.8 2.40517 2.36235
6410 12.82 2.34263 2.36235
6420 12.84 2.27983 2.36235
6430 12.86 2.40453 2.36235
6440 12.88 2.39964 2.36235
6450 12.9 2.26853 2.36235
6460 12.92 2.36327 2.36235
6470 12.94 2.41157 2.36235
6480 12.96 2.27546 2.36235
6490 12.98 2.33907 2.36235
6500 13 2.43656 2.36235
6510 13.02 2.30872 2.36235
6520 13.04 2.30423 2.36235
6530 13.06 2.49198 2.36235
6540 13.08 2.25462 2.36235
6550 13.1 2.25979 2.36235
6560 13.12 2.50955 2.36235
6570 13.14 2.30696 2.36235
6580 13.16 2.25942 2.36235
6590 13.18 2.45535 2.36235
6600 13.2 2.31519 2.35739
6610 13.22 2.25563 2.35739
6620 13.24 2.49514 2.35739
6630 13.26 2.31976 2.35739
6640 13.28 2.23688 2.35739
6650 13.3 2.42991 2.35739
6660 13.32 2.37704 2.35739
6670 13.34 2.25128 2.35739
6680 13.36 2.39382 2.35739
6690 13.38 2.41374 2.35739
6700 13.4 2.23914 2.35739
6710 13.42 2.36586 2.35739
6720 13.44 2.41151 2.35739
6730 13.46 2.2653 2.35739
6740 13.48 2.34975 2.35739
6750 13.5 2.41608 2.35739
6760 13.52 2.31343 2.35739
6770 13.54 2.28052 2.35739
6780 13.56 2.39715 2.35739
6790 13.58 2.40893 2.35739
6800 13.6 2.26163 2.35244
6810 13.62 2.3883 2.35244
6820 13.64 2.33901 2.35244
6830 13.66 2.28879 2.35244
6840 13.68 2.37825 2.35244
6850 13.7 2.36459 2.35244
6860 13.72 2.29301 2.35244
6870 13.74 2.333 2.35244
6880 13.76 2.39741 2.35244
6890 13.78 2.31699 2.35244
6900 13.8 2.29207 2.35244
6910 13.82 2.37811 2.35244
6920 13.84 2.36023 2.35244
6930 13.86 2.28796 2.35244
6940 13.88 2.37385 2.35244
6950 13.9 2.41965 2.35244
6960 13.92 2.2306 2.35244
6970 13.94 2.36628 2.35244
6980 13.96 2.40348 2.35244
6990 13.98 2.24443 2.35244
7000 14 2.33683 2.34748
7010 14.02 2.44443 2.34748
7020 14.04 2.24755 2.34748
7030 14.06 2.28321 2.34748
7040 14.08 2.45631 2.34748
7050 14.1 2.34068 2.34748
7060 14.12 2.25358 2.34748
7070 14.14 2.34434 2.34748
7080 14.16 2.37392 2.34748
7090 14.18 2.30771 2.34748
7100 14.2 2.34789 2.34748
7110 14.22 2.34769 2.34748
7120 14.24 2.30934 2.34748
7130 14.26 2.34873 2.34748
7140 14.28 2.36396 2.34748
7150 14.3 2.31851 2.34748
7160 14.32 2.29582 2.34748
7170 14.34 2.3531 2.34748
7180 14.36 2.32873 2.34748
7190 14.38 2.39195 2.34748
7200 14.4 2.33117 2.34252
7210 14.42 2.25626 2.34252
7220 14.44 2.36524 2.34252
7230 14.46 2.40632 2.34252
7240 14.48 2.27351 2.34252
7250 14.5 2.27118 2.34252
7260 14.52 2.37919 2.34252
7270 14.54 2.3142 2.34252
7280 14.56 2.32135 2.34252
7290 14.58 2.40615 2.34252
7300 14.6 2.2752 2.34252
7310 14.62 2.30812 2.34252
7320 14.64 2.39467 2.34252
7330 14.66 2.28571 2.34252
7340 14.68 2.28402 2.34252
7350 14.7 2.43822 2.34252
7360 14.72 2.29682 2.34252
7370 14.74 2.27424 2.34252
7380 14.76 2.40319 2.34252
7390 14.78 2.31692 2.34252
7400 14.8 2.26371 2.33756
7410 14.82 2.36239 2.33756
7420 14.84 2.39087 2.33756
7430 14.86 2.23376 2.33756
7440 14.88 2.36417 2.33756
7450 14.9 2.33696 2.33756
7460 14.92 2.28544 2.33756
7470 14.94 2.32229 2.33756
7480 14.96 2.37874 2.33756
7490 14.98 2.35162 2.33756
7500 15 2.23708 2.33756
7510 15.02 2.339 2.33756
7520 15.04 2.40425 2.33756
7530 15.06 2.29254 2.33756
7540 15.08 2.27627 2.33756
7550 15.1 2.3535 2.33756
7560 15.12 2.34326 2.33756
7570 15.14 2.31079 2.33756
7580 15.16 2.35311 2.33756
7590 15.18 2.28967 2.33756
7600 15.2 2.27608 2.33261
7610 15.22 2.38427 2.33261
7620 15.24 2.37456 2.33261
7630 15.26 2.25496 2.33261
7640 15.28 2.31086 2.33261
7650 15.3 2.36221 2.33261
7660 15.32 2.27919 2.33261
7670 15.34 2.30839 2.33261
7680 15.36 2.36753 2.33261
7690 15.38 2.3206 2.33261
7700 15.4 2.26188 2.33261
7710 15.42 2.37297 2.33261
7720 15.44 2.34975 2.33261
7730 15.46 2.29764 2.33261
7740 15.48 2.27006 2.33261
7750 15.5 2.3631 2.33261
7760 15.52 2.35303 2.33261
7770 15.54 2.25914 2.33261
7780 15.56 2.33927 2.33261
7790 15.58 2.33956 2.33261
7800 15.6 2.28345 2.32765
7810 15.62 2.3356 2.32765
7820 15.64 2.35345 2.32765
7830 15.66 2.28418 2.32765
7840 15.68 2.30012 2.32765
7850 15.7 2.34354 2.32765
7860 15.72 2.2877 2.32765
7870 15.74 2.31464 2.32765
7880 15.76 2.3378 2.32765
7890 15.78 2.30956 2.32765
7900 15.8 2.25524 2.32765
7910 15.82 2.41507 2.32765
7920 15.84 2.35024 2.32765
7930 15.86 2.1991 2.32765
7940 15.88 2.36302 2.32765
7950 15.9 2.3617 2.32765
7960 15.92 2.21804 2.32765
7970 15.94 2.3147 2.32765
7980 15.96 2.38682 2.32765
7990 15.98 2.2919 2.32765
8000 16 2.29828 2.32269
8010 16.02 2.37611 2.32269
8020 16.04 2.28436 2.32269
8030 16.06 2.24969 2.32269
8040 16.08 2.3551 2.32269
8050 16.1 2.32906 2.32269
8060 16.12 2.27099 2.32269
8070 16.14 2.32167 2.32269
8080 16.16 2.35262 2.32269
8090 16.18 2.299 2.32269
8100 16.2 2.27112 2.32269
8110 16.22 2.32219 2.32269
8120 16.24 2.32173 2.32269
8130 16.26 2.30186 2.32269
8140 16.28 2.31286 2.32269
8150 16.3 2.33156 2.32269
8160 16.32 2.30213 2.32269
8170 16.34 2.29832 2.32269
8180 16.36 2.32643 2.32269
8190 16.38 2.29564 2.32269
8200 16.4 2.30118 2.31773
8210 16.42 2.31298 2.31773
8220 16.44 2.33362 2.31773
8230 16.46 2.31783 2.31773
8240 16.48 2.24022 2.31773
8250 16.5 2.31462 2.31773
8260 16.52 2.37942 2.31773
8270 16.54 2.25251 2.31773
8280 16.56 2.27884 2.31773
