total_iter,N,S
173,16,-27.403
174,16,-27.403
175,16,-27.403
176,16,-27.403
177,16,-27.403
178,16,-27.403
179,16,-27.403
180,16,-27.403
181,16,-27.403
182,16,-27.403
183,16,-27.403
184,16,-27.403
185,16,-27.403
186,16,-27.403
187,16,-27.403
188,16,-27.403
189,16,-27.403
190,16,-27.403
191,16,-27.403
192,16,-27.403
193,16,-27.403
194,16,-27.403
195,16,-27.403
196,16,-27.403
197,16,-27.403
198,16,-27.403
199,16,-27.403
200,16,-27.403
201,16,-27.403
202,16,-27.403
203,16,-27.403
204,16,-27.403
205,16,-27.403
206,16,-27.403
207,16,-27.403
208,16,-27.403
209,16,-27.403
210,16,-27.403
211,16,-27.403
212,16,-27.403
213,16,-27.403
214,16,-27.403
215,16,-27.403
216,16,-27.403
217,16,-27.403
218,32,-24.2363
219,32,-24.088
220,32,-24.2852
221,32,-24.1322
222,32,-24.237
223,32,-24.2187
224,32,-24.1903
225,32,-24.2613
226,32,-24.1931
227,32,-24.2429
228,32,-24.2261
229,32,-24.207
230,32,-24.2454
231,32,-24.1933
232,32,-24.2355
233,32,-24.2033
234,32,-24.2141
235,32,-24.2163
236,32,-24.203
237,32,-24.2184
238,32,-24.2071
239,32,-24.2128
240,32,-24.2167
241,32,-24.2091
242,32,-24.222
243,32,-24.2117
244,32,-24.2214
245,32,-24.217
246,32,-24.219
247,32,-24.2202
248,32,-24.218
249,32,-24.2197
250,32,-24.2185
251,32,-24.2181
252,32,-24.219
253,32,-24.2172
254,32,-24.2181
255,32,-24.2153
256,32,-24.2169
257,32,-24.2147
258,32,-24.2167
259,32,-24.2157
260,32,-24.217
261,32,-24.2171
262,32,-24.2173
263,32,-24.2178
264,32,-24.2176
265,32,-24.2176
266,32,-24.218
267,32,-24.217
268,32,-24.2182
269,32,-24.2166
270,32,-24.2179
271,32,-24.2169
272,32,-24.2172
273,32,-24.2174
274,32,-24.2169
275,32,-24.2175
276,32,-24.2173
277,32,-24.217
278,32,-24.2179
279,32,-24.2166
280,32,-24.2179
281,32,-24.2168
282,32,-24.2176
283,32,-24.2171
284,32,-24.2174
285,32,-24.2172
286,32,-24.2174
287,32,-24.2172
288,32,-24.2174
289,32,-24.2173
290,32,-24.2173
291,32,-24.2174
292,32,-24.2173
293,32,-24.2174
294,32,-24.2173
295,32,-24.2173
296,32,-24.2173
297,32,-24.2173
298,32,-24.2173
299,32,-24.2173
300,32,-24.2173
301,32,-24.2173
302,32,-24.2173
303,32,-24.2173
304,32,-24.2173
305,32,-24.2173
306,32,-24.2173
307,32,-24.2173
308,32,-24.2173
309,32,-24.2173
310,32,-24.2173
311,32,-24.2173
312,32,-24.2173
313,32,-24.2173
314,32,-24.2173
315,32,-24.2173
316,32,-24.2173
317,32,-24.2173
318,32,-24.2173
319,32,-24.2173
320,32,-24.2173
321,32,-24.2173
322,32,-24.2173
323,32,-24.2173
324,32,-24.2173
325,32,-24.2173
326,32,-24.2173
327,32,-24.2173
328,32,-24.2173
329,32,-24.2173
330,32,-24.2173
331,32,-24.2173
332,32,-24.2173
333,32,-24.2173
