# t   T_sensor   E_supplied   E_window
4460  292.566  550  6.02633
4470  292.568  550  6.02702
4480  292.571  550  6.0277
4490  292.574  550  6.02837
4500  292.576  550  6.02904
4510  292.579  550  6.02969
4520  292.581  550  6.03035
4530  292.584  550  6.03099
4540  292.586  550  6.03163
4550  292.589  550  6.03226
4560  292.591  550  6.03289
4570  292.594  550  6.03351
4580  292.596  550  6.03412
4590  292.599  550  6.03473
4600  292.601  550  6.03533
4610  292.603  550  6.03593
4620  292.606  550  6.03652
4630  292.608  550  6.0371
4640  292.61  550  6.03768
4650  292.612  550  6.03826
4660  292.615  550  6.03882
4670  292.617  550  6.03938
4680  292.619  550  6.03994
4690  292.621  550  6.04049
4700  292.623  550  6.04103
4710  292.626  550  6.04157
4720  292.628  550  6.04211
4730  292.63  550  6.04264
4740  292.632  550  6.04316
4750  292.634  550  6.04368
4760  292.636  550  6.04419
4770  292.638  550  6.0447
4780  292.64  550  6.0452
4790  292.642  550  6.0457
4800  292.644  550  6.04619
4810  292.646  550  6.04668
4820  292.647  550  6.04716
4830  292.649  550  6.04764
4840  292.651  550  6.04811
4850  292.653  550  6.04858
4860  292.655  550  6.04905
4870  292.657  550  6.04951
4880  292.658  550  6.04996
4890  292.66  550  6.05041
4900  292.662  550  6.05086
4910  292.664  550  6.0513
4920  292.665  550  6.05174
4930  292.667  550  6.05217
4940  292.669  550  6.0526
4950  292.671  550  6.05302
4960  292.672  550  6.05344
4970  292.674  550  6.05386
4980  292.675  550  6.05427
4990  292.677  550  6.05468
5000  292.679  550  6.05508
5010  292.68  550  6.05548
5020  292.682  550  6.05588
5030  292.683  550  6.05627
5040  292.685  550  6.05666
5050  292.686  550  6.05704
5060  292.688  550  6.05742
5070  292.689  550  6.0578
5080  292.691  550  6.05817
5090  292.692  550  6.05854
5100  292.694  550  6.0589
5110  292.695  550  6.05926
5120  292.696  550  6.05962
5130  292.698  550  6.05998
5140  292.699  550  6.06033
5150  292.701  550  6.06067
5160  292.702  550  6.06102
5170  292.703  550  6.06136
5180  292.705  550  6.06169
5190  292.706  550  6.06203
5200  292.707  550  6.06236
5210  292.709  550  6.06269
5220  292.71  550  6.06301
5230  292.711  550  6.06333
5240  292.712  550  6.06365
5250  292.714  550  6.06396
5260  292.715  550  6.06427
5270  292.716  550  6.06458
5280  292.717  550  6.06489
5290  292.718  550  6.06519
5300  292.72  550  6.06549
5310  292.721  550  6.06578
5320  292.722  550  6.06607
5330  292.723  550  6.06636
5340  292.724  550  6.06665
5350  292.725  550  6.06694
5360  292.726  550  6.06722
5370  292.727  550  6.0675
5380  292.729  550  6.06777
5390  292.73  550  6.06805
5400  292.731  550  6.06832
5410  292.732  550  6.06858
5420  292.733  550  6.06885
5430  292.734  550  6.06911
5440  292.735  550  6.06937
5450  292.736  550  6.06963
5460  292.737  550  6.06988
5470  292.738  550  6.07013
5480  292.739  550  6.07038
5490  292.74  550  6.07063
5500  292.741  550  6.07088
5510  292.742  550  6.07112
5520  292.743  550  6.07136
5530  292.744  550  6.0716
5540  292.745  550  6.07183
5550  292.745  550  6.07206
5560  292.746  550  6.07229
5570  292.747  550  6.07252
5580  292.748  550  6.07275
5590  292.749  550  6.07297
5600  292.75  550  6.07319
5610  292.751  550  6.07341
5620  292.752  550  6.07363
5630  292.752  550  6.07384
5640  292.753  550  6.07406
5650  292.754  550  6.07427
5660  292.755  550  6.07448
5670  292.756  550  6.07468
5680  292.757  550  6.07489
5690  292.757  550  6.07509
5700  292.758  550  6.07529
5710  292.759  550  6.07549
5720  292.76  550  6.07568
5730  292.76  550  6.07588
5740  292.761  550  6.07607
5750  292.762  550  6.07626
5760  292.763  550  6.07645
5770  292.763  550  6.07664
5780  292.764  550  6.07682
5790  292.765  550  6.077
5800  292.766  550  6.07718
