t,I,st,difference,relative_difference,center,max_u
419.25,4.19250000000381,4.1925,3.80939724209384e-12,9.08621882431446e-13,0.00803046305234666,0.00803046305234666
419.375,4.19375000000384,4.19375,3.84225984362274e-12,9.16187146020326e-13,0.0080307126371141,0.0080307126371141
419.5,4.19500000000381,4.195,3.81117359893324e-12,9.08503837647971e-13,0.00803096216328427,0.00803096216328427
419.625,4.19625000000388,4.19625,3.88133969408955e-12,9.24954350691581e-13,0.00803121163090307,0.00803121163090307
419.75,4.19750000000387,4.1975,3.86979337463345e-12,9.21928141663715e-13,0.0080314610400164,0.0080314610400164
419.875,4.19875000000391,4.19875,3.91064958193965e-12,9.31384241009741e-13,0.00803171039067006,0.00803171039067006
420,4.20000000000392,4.2,3.91775500929725e-12,9.32798811737441e-13,0.00803195968290987,0.00803195968290987
420.125,4.20125000000394,4.20125,3.93907129137006e-12,9.37595070840834e-13,0.00803220891678155,0.00803220891678155
420.25,4.2025000000039,4.2025,3.89999144090325e-12,9.28016999620048e-13,0.00803245809233081,0.00803245809233081
420.375,4.20375000000395,4.20375,3.94795307556706e-12,9.39150300461982e-13,0.00803270720960332,0.00803270720960332
420.5,4.20500000000393,4.205,3.92841315033365e-12,9.34224292588265e-13,0.00803295626864469,0.00803295626864469
420.625,4.20625000000399,4.20625,3.98703292603386e-12,9.47883013618749e-13,0.0080332052695005,0.0080332052695005
420.75,4.20750000000397,4.2075,3.97282207131866e-12,9.44223902868368e-13,0.00803345421221629,0.00803345421221629
420.875,4.20875000000401,4.20875,4.01190192178547e-12,9.53228849845076e-13,0.00803370309683754,0.00803370309683754
421,4.21000000000404,4.21,4.04121180963557e-12,9.59907793262606e-13,0.00803395192340972,0.00803395192340972
421.125,4.21125000000402,4.21125,4.01900734914307e-12,9.54350216478021e-13,0.00803420069197824,0.00803420069197824
421.25,4.21250000000406,4.2125,4.05542266435077e-12,9.62711611715317e-13,0.00803444940258845,0.00803444940258845
421.375,4.21375000000405,4.21375,4.04742905857347e-12,9.60528996398332e-13,0.0080346980552857,0.0080346980552857
421.5,4.21500000000404,4.215,4.03943545279617e-12,9.5834767563373e-13,0.00803494665011525,0.00803494665011525
421.625,4.21625000000409,4.21625,4.09450251481758e-12,9.71124225275441e-13,0.00803519518712237,0.00803519518712237
421.75,4.21750000000408,4.2175,4.07851530326298e-12,9.67045715059389e-13,0.00803544366635224,0.00803544366635224
421.875,4.21875000000415,4.21875,4.14690504157988e-12,9.82970083930047e-13,0.00803569208785004,0.00803569208785004
422,4.22000000000412,4.22,4.12203604582828e-12,9.76785792850304e-13,0.00803594045166088,0.00803594045166088
