t,norm,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,leakage_above_first_excited
10.75,0.984829686689332,0.389659005322579,0.283883297567376,0.286875155220027,1.44762188954916e-31,0.0142940607101307,0.0100636256842351,1.9453061538763e-30,7.66396293970997e-30,2.57887337409824e-05,2.80136571166675e-05,0.0395825418900174
11,0.982119487432433,0.380778354617466,0.285033921981282,0.288037906111565,4.6679306150991e-31,0.0165431081024528,0.0116470505458908,1.72267507227707e-30,5.93511483974296e-30,3.71671870804768e-05,4.03737866822435e-05,0.0461498172896873
11.25,0.979551213385255,0.366783716932155,0.28833223193913,0.291370977092596,9.44259185673266e-31,0.0193348921605895,0.0136125850655805,1.65462728548989e-30,5.11633259119344e-30,5.45302028964146e-05,5.92347969382885e-05,0.0535130740361189
11.5,0.977239324564929,0.347380754144456,0.294179497492308,0.297279867215949,1.51841816143726e-30,0.0224332637959198,0.0157939702577196,1.9835563187845e-30,5.25196740813026e-30,7.99584916673614e-05,8.68569116899344e-05,0.0611598811472868
11.75,0.97527723414111,0.322857009270356,0.302700739130182,0.305890914567026,2.03677153879413e-30,0.0255758965682204,0.0180065171696709,2.54015988150968e-30,5.90645842615675e-30,0.0001142167347385,0.000124070785176454,0.0685513370324363
12,0.973731062107664,0.294024024851214,0.313761616239581,0.317068362711454,2.59057277019563e-30,0.0284863794962248,0.020055620733855,3.03279947683752e-30,7.10602783261765e-30,0.000155372153089091,0.000168776887839202,0.0751459961977505
12.25,0.972637492677853,0.262112490137898,0.327006494272793,0.330452829054516,3.08983212377477e-30,0.0308902580188436,0.0217480532855695,3.37523870757629e-30,8.02233288764312e-30,0.000198207432788476,0.000215307781912856,0.0804281865347919
12.5,0.972005570659555,0.228634451353879,0.341907372861414,0.345510748610389,3.40122594858146e-30,0.032538263537669,0.0229083191472682,3.36016798926491e-30,8.64863853680899e-30,0.000234942539916268,0.000255212210938264,0.0839474271743184
12.75,0.971821597536237,0.195226756400497,0.357817211998049,0.361588262190647,3.54036890388809e-30,0.0332355801384561,0.023399259643187,2.97285451057344e-30,8.98479720594997e-30,0.000257313277738029,0.000279512984488454,0.0853677694108073
13,0.972055802999492,0.163489435715041,0.374025277630117,0.377967145287537,3.42372850873932e-30,0.0328718857395198,0.0231432033434014,2.31394043861641e-30,8.28634993125096e-30,0.000259360251973439,0.000281736561455568,0.084518141367306
13.25,0.972669263366411,0.13483241767574,0.389814384219368,0.39392265391517,2.95537715464599e-30,0.0314448698744948,0.0221385235814847,1.59308144706693e-30,7.35841551786986e-30,0.000239749473785794,0.000260433863096757,0.0814305441897221
13.5,0.973619648273019,0.110344018689759,0.404519566373265,0.40878281458361,2.48352456586998e-30,0.0290705241072692,0.0204668833435661,1.01326206475666e-30,6.08534616751964e-30,0.000202486294372222,0.000219955802341494,0.0763536003533656
13.75,0.974864812071842,0.0906941785940439,0.41758532776058,0.421986276563138,1.89926176663385e-30,0.02597613644783,0.0182883030396191,8.62580149819933e-31,4.85382450980236e-30,0.000155590537147563,0.000169014112985472,0.0697342170822374
14,0.976363919704001,0.0760832227209517,0.428615622742624,0.433132820273923,1.4562022732225e-30,0.0224756921638581,0.0158238416303117,1.13582010925006e-30,3.66007205375041e-30,0.000108308394489396,0.00011765270278709,0.0621683342625021
14.25,0.978076481848534,0.0662427035346698,0.437408759561468,0.442018628320372,1.13399198879739e-30,0.0189314685759007,0.0133285577320727,1.79044019935311e-30,2.451111775173e-30,6.81480951290399e-05,7.40275730198191e-05,0.0543299085834901
14.5,0.979960164923933,0.0604891731337789,0.443969748275347,0.44864876356193,7.91298383003093e-31,0.0157089335977368,0.0110597562744426,2.6940962014586e-30,1.77109126955116e-30,3.90271017250764e-05,4.23941654896495e-05,0.0468923150289438
