t,norm,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,leakage_above_first_excited
70.75,0.99865370157998,0.99346014192469,0.00255392549788587,0.00258084142288251,3.41062619166746e-30,3.37911813226085e-05,2.37904264683924e-05,2.60000853546068e-30,5.41398824980194e-30,5.76849702469732e-07,6.26617418876164e-07,0.00140509115454113
71,0.999262695964369,0.994422408232174,0.00238131694058462,0.00240641373695518,4.89860265091321e-30,3.02795714938977e-05,2.13181040414828e-05,2.52013021052229e-30,5.28471637253312e-30,4.59169289093522e-07,4.98784126137142e-07,0.000789861090286448
71.25,0.999823546049921,0.995052038777349,0.00234824912473354,0.002372997418044,6.65217359567503e-30,2.90722022420334e-05,2.04680648217088e-05,2.14813585673106e-30,4.44757309936431e-30,3.45233765262042e-07,3.75018813342538e-07,0.00022671467987323
71.5,1.00033046076826,0.995527263039864,0.00236340556289985,0.00238831359053037,8.49344310289943e-30,2.97026551323901e-05,2.09119304263635e-05,1.50043636581234e-30,3.0599039823802e-30,4.13754435120294e-07,4.49451104981607e-07,-0.000278982193293809
71.75,1.0007794467454,0.995966893964633,0.00236622331198185,0.00239116103598489,9.85514721613181e-30,3.14965114209882e-05,2.21748814229939e-05,7.14926720191243e-31,1.49943201303768e-30,7.14565451484257e-07,7.76214596123211e-07,-0.000724278312600246
72,1.00116831280908,0.996422280546228,0.00233116525142958,0.00235573349710242,1.09092158760651e-29,3.3323818946148e-05,2.34613835105469e-05,1.83950346186124e-31,3.81806423713116e-31,1.11792370776746e-06,1.21437259178779e-06,-0.0011091792947604
72.25,1.00149661091797,0.996873998191792,0.00226917260490912,0.00229308750755161,1.14813968449712e-29,3.36636424702042e-05,2.37006337008276e-05,3.51968440674908e-34,6.49438177851704e-32,1.42110824389199e-06,1.54371437814143e-06,-0.00143625830425242
72.5,1.00176552289042,0.997233723344142,0.00222612426969656,0.0022495854841783,1.15868395159208e-29,3.10228422956113e-05,2.18413982461229e-05,1.88326702880783e-31,7.80574087346529e-31,1.5299701068896e-06,1.66196829994021e-06,-0.00170943309801719
72.75,1.00197769006677,0.997351548808415,0.00227841688148931,0.00230242920993974,1.07833727927274e-29,2.46359341490445e-05,1.73447437145591e-05,8.14388239135471e-31,2.33182989083758e-30,1.56344482608729e-06,1.69833105102072e-06,-0.00193239489984376
73,1.00213698991344,0.997028436652799,0.00252607006444944,0.00255269241989685,9.55234032203108e-30,1.52651595436989e-05,1.07473204971859e-05,1.61984912913267e-30,4.1821648577574e-30,1.77800160382189e-06,1.93139871785231e-06,-0.0021071991371453
73.25,1.00224828341275,0.996032831835676,0.00308400443989827,0.00311650688848667,7.85613037974204e-30,5.84139568995301e-06,4.11259059894697e-06,2.46424344279032e-30,5.81067203289426e-30,2.35099147100528e-06,2.55382329409767e-06,-0.00223334316406065
73.5,1.00231715972051,0.994120055605048,0.00407228526775446,0.0041152032482996,6.01430872495065e-30,1.665480772797e-06,1.17256918252107e-06,3.07097566710173e-30,6.43780886784101e-30,3.19222903680334e-06,3.46763864302575e-06,-0.00230754412110179
73.75,1.00234969271741,0.991052919933949,0.00560613871427345,0.00566522203885729,4.02222961661175e-30,9.9582720805483e-06,7.01104638582324e-06,3.30244038651808e-30,6.02801203245587e-30,3.96149996138653e-06,4.30327842772798e-06,-0.00232428068707957
74,1.00235222430743,0.986622055940559,0.00778642940911737,0.00786849090626814,2.45508489043138e-30,3.87246186978478e-05,2.72637758606865e-05,3.10054162383678e-30,4.47673616245024e-30,4.32854138014657e-06,4.70198635018655e-06,-0.0022769762559447
74.25,1.00233118526576,0.980664935579925,0.0106910785431846,0.0108037522560399,1.33800058558252e-30,9.5151574862257e-05,6.69907489619705e-05,2.52437921102789e-30,2.59577257486729e-30,4.31128644161807e-06,4.68324274158634e-06,-0.00215976637914994
74.5,1.00229294255662,0.973083014593269,0.0143676904362833,0.0145191121118488,5.42164575297755e-31,0.000183980696073069,0.000129530222093754,1.68059621829002e-30,7.99311730322536e-31,4.42256838726687e-06,4.80412553870303e-06,-0.00196981714140065
74.75,1.00224365486356,0.963856205961639,0.0188275430575097,0.0190259673017675,2.25962271486041e-31,0.000306336908495136,0.000215674191041911,8.32707206026803e-31,1.98252761763938e-32,5.4507549421307e-06,5.92101890342903e-06,-0.00170971632091632
75,1.00218913095594,0.953053425038668,0.0240411303245006,0.0242945007776272,2.58848763137349e-31,0.000459325452310787,0.000323384621979551,3.35036365622089e-31,6.61302470518677e-31,7.95642193843187e-06,8.6428623560011e-06,-0.00138905614079521
75.25,1.0021346910088,0.940837881448694,0.0299355815517506,0.0302510738667955,5.488881644246e-31,0.000636420153147143,0.000448066811038365,2.88718264841546e-31,2.9216289637909e-30,1.18083897665513e-05,1.28271587640843e-05,-0.00102453686723969
75.5,1.00208502718219,0.927466010302968,0.0363944175592494,0.0367779798104329,1.19782792579967e-30,0.000828409548240914,0.000583235497302367,7.19763061909076e-31,6.17805397170886e-30,1.61147378542822e-05,1.75050370952323e-05,-0.000638407672650665
75.75,1.00204406204107,0.913279316310802,0.0432601021477355,0.0437160221288481,2.12388727573173e-30,0.00102457919538425,0.000721347258508168,1.37477955968996e-30,9.5260536991742e-30,1.96658709643534e-05,2.13625442656221e-05,-0.000255440587385802
76,1.00201480845986,0.898689341846328,0.0503396458205626,0.0508701774012173,3.5042810085521e-30,0.00121392496389899,0.000854654719408716,2.00423858875645e-30,1.19942780929563e-29,2.16391536914573e-05,2.35060719884818e-05,0.000100834931891947
76.25,1.00199923160293,0.884157156021384,0.0574131955210249,0.0580182755305025,5.11358553596493e-30,0.00138634237734361,0.000976043899540043,2.36941902210885e-30,1.28126201764832e-29,2.20912825295004e-05,2.39972082485512e-05,0.000411372927088482
76.5,1.00199811556467,0.870169080133514,0.0642452457638593,0.0649223290295251,6.97220560532403e-30,0.00153370759973665,0.00107979527342263,2.32316719986235e-30,1.19838394734117e-29,2.18820703574419e-05,2.37699462933306e-05,0.000663345073101396
76.75,1.0020109501766,0.857210003250382,0.070597856360576,0.0713418900484432,8.72148327184174e-30,0.00165062166133535,0.00116210773711034,1.94693891976959e-30,9.58222104671308e-30,2.20646873020832e-05,2.39683185175102e-05,0.000850250340598602
77,1.00203585901086,0.845735702699338,0.0762449891678422,0.0770485382187114,1.06246373372101e-29,0.00173455782912076,0.00122120236326947,1.53128804819357e-30,6.48051777747993e-30,2.31524000955683e-05,2.51498737479553e-05,0.000970769914108827
77.25,1.00206958801005,0.836145872037685,0.0809868077061194,0.0818403309759821,1.17672913777813e-29,0.00178529769267703,0.0012569253816933,9.99159808077297e-31,3.45589722496329e-30,2.47580761226856e-05,2.68940794974883e-05,0.00102698928021328
77.5,1.00210757169955,0.828759599344406,0.0846626250006822,0.0855548878589486,1.20284349778452e-29,0.00180382177483405,0.00126996712208832,5.44247539913025e-31,1.52806586788855e-30,2.58444626760313e-05,2.8074194066402e-05,0.00102288779596371
77.75,1.00214408290146,0.823795240466544,0.0871612113054901,0.0880798068667402,1.1694532409036e-29,0.00179114560542678,0.00126104256057907,2.00186950547318e-31,1.12185650637556e-30,2.54038468559553e-05,2.75955641100863e-05,0.0009637413612259
78,1.00217245781937,0.821356842540147,0.0884274473547031,0.0893593878293257,1.07432114766378e-29,0.00174771574533476,0.00123046609498628,1.32028894800731e-31,2.81744619118539e-30,2.31009014531112e-05,2.50939320593718e-05,0.000856322275824217
78.25,1.0021853861145,0.82142859477549,0.0884648379959989,0.0893971725321153,9.18965154467881e-30,0.0016736955649546,0.00117835274500609,2.56946363622288e-31,5.9643086318015e-30,1.94609055905604e-05,2.11398955012437e-05,0.00070939469639586
78.5,1.00217525790318,0.823877314505543,0.0873340307443876,0.0882544476567538,7.18197639692186e-30,0.00156994611393954,0.00110530872615566,5.0193928594301e-31,9.98167296755398e-30,1.5516582996782e-05,1.68552764187623e-05,0.000534207093315198
78.75,1.00213455058254,0.828461878325349,0.0851479815927244,0.0860453596439124,5.07937138929376e-30,0.00143914347909595,0.00101321811717677,8.78595286934686e-31,1.3388628211671e-29,1.2189984957395e-05,1.32416760855197e-05,0.000344780438013781
79,1.00205623200114,0.83484810305769,0.0820646486201031,0.0829295312993238,3.18318446013352e-30,0.0012864538828479,0.000905718158020452,1.18506934075099e-30,1.48106270368808e-29,9.83079386087824e-06,1.06789457431064e-05,0.000157717022883475
79.25,1.00193415939062,0.842627396307123,0.0782780712806518,0.0791030470668377,1.61035179298876e-30,0.00111942730356247,0.00078812435403898,1.2062768570293e-30,1.40434823342048e-29,8.18071587134391e-06,8.88650725121313e-06,-8.51465461271239e-06
79.5,1.00176344342946,0.851337725919991,0.0740084839020698,0.0747884623327165,4.90349762457094e-31,0.000947139623036577,0.000666826511391041,9.87396529755317e-31,1.15376867313087e-29,6.71684139609209e-06,7.29633698448225e-06,-0.000134672154777249
79.75,1.00154073669519,0.860486109544438,0.0694918646659991,0.0702242422622843,4.56857104769065e-32,0.000778934492968891,0.000548402957616051,5.55857829036306e-31,8.07702151631592e-30,5.08280003069366e-06,5.52131867670003e-06,-0.000202216472720895
80,1.00126442076542,0.869572065378633,0.064969182972867,0.0656538958423083,1.73570551830172e-31,0.000623206036811082,0.00043876351204932,1.93700460301149e-31,4.44696446914115e-30,3.30748859739634e-06,3.59284222387147e-06,-0.000195144193808172
80.25,1.00093468690832,0.878111108207113,0.0606756057036328,0.0613150683870988,7.44594581644193e-31,0.00048653328171976,0.0003425400891631,1.04365082169827e-32,1.6234744801387e-30,1.70822805755972e-06,1.85560545787869e-06,-0.000101782297845077
80.5,1.00055351210071,0.885657084838642,0.0568299856175631,0.0574289191540793,1.70947272581218e-30,0.000373290154761688,0.000262812119334996,7.8273476318729e-32,1.95113254555209e-31,6.07592153257218e-07,6.60012175047707e-07,8.40103897155053e-05
80.75,1.00012453740432,0.89182219444777,0.0536250198513242,0.0541901761228996,2.88317969864978e-30,0.000285715904433062,0.000201156128587719,3.85193333458998e-31,2.3366192737583e-31,9.6293071030667e-08,1.04600757123293e-07,0.000362609578006379
81,0.999652868873105,0.896293723927196,0.0512185139174788,0.0517583079248563,4.445222293485e-30,0.000224341888391186,0.000157946215274147,8.96147062223435e-31,1.36566417121496e-30,1.24796848968829e-09,1.35563698917001e-09,0.000729454230468773
81.25,0.99914482253418,0.898846826991944,0.0497262062788149,0.0502502727951173,5.75914788614853e-30,0.000188614283013826,0.000132792464048157,1.40876643966758e-30,3.01983499908325e-30,4.71161379746261e-08,5.11810834584057e-08,0.00117669393412356
81.5,0.998607618815864,0.899353115781042,0.0492165769689743,0.0497352724811925,7.20121244145309e-30,0.000177529381810923,0.000124988222922073,1.87686606377325e-30,4.78574653790561e-30,6.31043394124991e-08,6.85486672060456e-08,0.00169503476879085
81.75,0.998049033148456,0.89778510272065,0.04970796230595,0.0502318365482782,8.42967911977025e-30,0.000190113606413537,0.000133848051384767,2.05604041664968e-30,5.88392012633077e-30,7.50498766512086e-08,8.15248058426748e-08,0.00227509842512208
82,0.99747703064003,0.894216490424757,0.0511681334550807,0.0517073965007099,9.34415155479276e-30,0.000225635104800999,0.000158856694538303,1.89312701928149e-30,5.90102693976381e-30,2.29154429793626e-07,2.48924731531996e-07,0.00290797961945222
82.25,0.996899417354885,0.888818265671493,0.053516302595176,0.0540803130911544,9.50578157408341e-30,0.000283519685823007,0.000199609897431968,1.53288223638955e-30,4.86311169184293e-30,6.29677194869518e-07,6.84002603945584e-07,0.00358511864217603
82.5,0.996323533478644,0.881850667224788,0.0566273432282552,0.0572241411083649,9.2641283351245e-30,0.000363035884046728,0.000255592677342078,8.96167861547244e-31,3.31597102900989e-30,1.23621555630844e-06,1.342870071271e-06,0.00429784843859204
82.75,0.995756014673455,0.873651292550604,0.0603378899895772,0.0609737934733575,8.54530662750851e-30,0.000462883046925922,0.000325889319648693,4.30350140938887e-31,1.70398718950502e-30,1.91330103533356e-06,2.07837110976979e-06,0.00503702398646111
83,0.99520264329574,0.864619896095668,0.0644539326877303,0.0651332153133998,7.52883773287372e-30,0.000580845942294318,0.00040894020684513,1.05572088080214e-31,6.59436376041595e-31,2.59833960003841e-06,2.82251138653022e-06,0.00579295590320206
83.25,0.994668290662917,0.855200719725752,0.06875952951435,0.0694841890006003,6.25305234449397e-30,0.000713660216826605,0.000502447095581707,6.43785105979142e-32,4.80390170764765e-31,3.44885034168442e-06,3.74639995468643e-06,0.00655556175929795
83.5,0.99415693394352,0.845863214528627,0.0730263141250093,0.0737959414283132,4.88396500394997e-30,0.000857157537116661,0.000603475302147687,3.51012656951417e-31,1.34054749401194e-30,4.82729223921421e-06,5.24376694682153e-06,0.00731452991805015
83.75,0.993671734423713,0.837081759857882,0.0770235319713504,0.0778352861165833,3.42039124935738e-30,0.00100664074948546,0.000708717830905815,9.15846993791798e-31,2.95490717795208e-30,7.09103540068574e-06,7.70281458222254e-06,0.00805942205418464
84,0.993215173560306,0.829314827267165,0.0805283762781653,0.0813770681205102,2.10293564787622e-30,0.00115732488959536,0.000814805863786627,1.67988103668629e-30,4.80565532978078e-30,1.03049166946304e-05,1.11939735311882e-05,0.00877972833415919
84.25,0.992789237266629,0.822984132892537,0.0833363698113328,0.0842146552120617,1.25914768863932e-30,0.00130462440425661,0.000918510976636002,2.44070918470371e-30,6.57415921114447e-30,1.40774428174647e-05,1.52919743997172e-05,0.00946484208406884
84.5,0.992395629913811,0.818454500903398,0.0852714351860783,0.0861701143197229,6.21561511896149e-31,0.00144411126211989,0.0010167156473641,2.92531239309078e-30,7.65016572240085e-30,1.76688664514116e-05,1.91932481595129e-05,0.0101039495908006
84.75,0.99203600141206,0.816015452510043,0.0861951202941602,0.0871035341828359,1.75113616452483e-31,0.00157113245010296,0.00110614395718806,2.9378477617356e-30,7.77342821600569e-30,2.03490741955875e-05,2.21046908654943e-05,0.0106858930129612
85,0.991712167037981,0.815865974646374,0.0860142611460605,0.0869207689527971,1.86786950727853e-33,0.001680306075467,0.00118300682509765,2.73680440090236e-30,6.96817051328225e-30,2.18020554667761e-05,2.36830281168194e-05,0.0111989952547684
85.25,0.991426288507274,0.818104065796307,0.0846862913214983,0.0855788036000859,1.04189219139915e-31,0.00176526206269961,0.00124281944745048,2.10831596799064e-30,5.48284166954447e-30,2.23122929560437e-05,2.42372863528353e-05,0.0116308392821085
85.5,0.991180986980671,0.822722166913638,0.082221533465418,0.083088069560423,5.05235362306778e-31,0.0018189291185542,0.00128060333354471,1.18734425379381e-30,3.78685734877568e-30,2.25864044947151e-05,2.45350468684633e-05,0.0119682300605213
85.75,0.990979374784411,0.829608805423802,0.0786821157999342,0.0795113498277898,1.30279624930582e-30,0.0018344274289474,0.00129151480213985,4.435883237743e-31,1.92831240144236e-30,2.32940984153848e-05,2.53037970923577e-05,0.0121977289484742
86,0.990825005761556,0.838556176882129,0.0741775485062093,0.0749593087156152,2.54253651690516e-30,0.00180635708037573,0.00127175208484212,3.70885529077588e-32,5.11408103809074e-31,2.4603398817002e-05,2.67260574050264e-05,0.0123069658960466
86.25,0.990721749256757,0.849272978496721,0.068857370747494,0.0695830613864908,3.99053413827387e-30,0.00173210411042172,0.0012194748411174,1.39018475159265e-31,5.43762700195488e-32,2.60061084473991e-05,2.82497858290343e-05,0.0122865893692946
86.5,0.990673596833669,0.861401456078303,0.0629015688426872,0.0635644910424724,5.34034562783608e-30,0.00161277334781841,0.0011354609173062,6.87650751493712e-31,5.4456706534258e-31,2.65613227550131e-05,2.88529012590506e-05,0.0121324840365373
86.75,0.990684415177437,0.874537483369546,0.0565096254754128,0.0571051827233231,6.94193984604597e-30,0.00145350236561053,0.00102332738298001,1.43615112145365e-30,1.55048346491961e-30,2.542862438485e-05,2.76224793206493e-05,0.0118477084317182
87,0.990757658402623,0.888252636582506,0.0498890835399106,0.0504148666263109,8.04086868210609e-30,0.0012631411265939,0.000889304987727942,2.18671815558531e-30,2.65087802285727e-30,2.23776926182364e-05,2.43083283718331e-05,0.0114434132512725
87.25,0.990896054608969,0.902117223181643,0.0432444404417642,0.0437001953635184,8.85184143897951e-30,0.00105344104965333,0.00074166722942534,2.52344575405348e-30,3.55131518629391e-30,1.79680470280327e-05,1.9518240544689e-05,0.010938141013074
87.5,0.991101292122152,0.915722829481578,0.0367670759208137,0.0371545656336701,8.88705039320839e-30,0.000837896607155584,0.000589914789611157,2.38750127584867e-30,3.79913463229834e-30,1.32916543519309e-05,1.44383920229649e-05,0.0103555289639385
87.75,0.99137373922909,0.928702679745858,0.0306267603905834,0.0309495370676035,8.34764722422779e-30,0.000630320244369507,0.000443772216248942,2.05032802845211e-30,3.38049455439619e-30,9.43527158452451e-06,1.02492997766471e-05,0.00972102279595499
88,0.99171222882209,0.940748341843514,0.0249650829566019,0.0252281909842058,7.4828121859871e-30,0.000443247629575849,0.000312065152089039,1.42751923587931e-30,2.4458469421756e-30,6.98029112063114e-06,7.58251583780564e-06,0.00905838421567806
88.25,0.99211393252612,0.95162178707278,0.0198909119768235,0.0201005431094963,6.11092938594685e-30,0.000286372153210301,0.000201618155592072,7.70950775451909e-31,1.35240607005982e-30,5.81877569276876e-06,6.32079064964548e-06,0.00838675784089971
88.5,0.992574339056699,0.961162278330047,0.0154778151174025,0.0156409364422639,4.60691704155304e-30,0.000165309894071029,0.00011638518469792,2.60066035799992e-31,4.10705937211931e-31,5.3579396355345e-06,5.82019595492332e-06,0.00771897011028622
88.75,0.993087335978659,0.969288119716029,0.011763266735747,0.0118872402836979,3.15384153196138e-30,8.10189776071508e-05,5.70408004060142e-05,1.29831660029289e-32,1.32124189358651e-32,4.94788672785682e-06,5.37476572671529e-06,0.00706137326452638
89,0.993645380326665,0.975993835676418,0.00874948184047046,0.00884169298647797,1.87173752001586e-30,3.00863443829769e-05,2.11820639507114e-05,1.09955673885331e-31,3.51523086995083e-31,4.25129212732511e-06,4.6180724169651e-06,0.0064149894966341
89.25,0.994239742354713,0.981343471316125,0.00640581951168191,0.0064733307048085,8.78631962153275e-31,5.85160573006977e-06,4.11977890071616e-06,5.40891024366798e-31,1.36007377563108e-30,3.34571603701783e-06,3.63436773639408e-06,0.00577737846738424
89.5,0.994860811957907,0.985460403405059,0.00467280932038735,0.00472205624841852,2.61914315546157e-31,6.17243131425444e-08,4.34565373473215e-08,1.19917496570225e-30,2.73777968207591e-30,2.54532224465069e-06,2.76491995803902e-06,0.00514473102613522
89.75,0.995498452376731,0.988513871584714,0.00346786251022418,0.00350441045467335,4.63728822064328e-32,4.59169349449349e-06,3.23274718937106e-06,2.00102174449674e-30,4.05425930254835e-30,2.10698785789052e-06,2.28876826573737e-06,0.00451385545038818
90,0.996142376098846,0.990702702168389,0.00269259221780436,0.00272096955701851,1.98469463864389e-31,1.27999503587552e-05,9.01170855501665e-06,2.68439483589485e-30,5.03515026906741e-30,2.03332801279808e-06,2.20875341644962e-06,0.00388373605678849
90.25,0.996782519182223,0.992237093163135,0.00224143248861137,0.00226505503703679,7.00623539185665e-31,2.02640986957505e-05,1.42667859216558e-05,3.2379219131629e-30,5.32946079795464e-30,2.08941555406344e-06,2.26967991114897e-06,0.00325641931121712
90.5,0.997409390914781,0.993319637262664,0.00201100004963045,0.00203219406118214,1.55799910104376e-30,2.48613121980046e-05,1.75034194308754e-05,3.20266586173869e-30,4.83407301180662e-30,1.99100514250647e-06,2.16277913991468e-06,0.00263716862652341
90.75,0.998014368190341,0.994127066605553,0.00190945810598153,0.00192958196284722,2.69230194187177e-30,2.63359824167549e-05,1.85416498812811e-05,2.73873774838653e-30,3.61642147556036e-30,1.61036729795964e-06,1.7493017598346e-06,0.00203389332561865
91,0.998589910485325,0.994794319638288,0.00186506246353181,0.00188471843291083,3.99550047299014e-30,2.5591541474377e-05,1.80175318479219e-05,1.89706970991057e-30,2.06108140205018e-30,1.05049901125984e-06,1.14113082861807e-06,0.00145589946526914
91.25,0.9991296952158,0.995402191075572,0.00183311112945452,0.00185243036242041,5.47978320138144e-30,2.39544861852715e-05,1.6864975412907e-05,1.02498286647069e-30,7.91527249620332e-31,5.46127814266506e-07,5.93244999324089e-07,0.000912267432553016
91.5,0.999628688188697,0.99596926061203,0.00180066668038173,0.00181964397997544,6.97604361167015e-30,2.26132506285759e-05,1.59206886303976e-05,3.1015471280431e-31,9.32165150797775e-32,2.78631390793749e-07,3.02670318055468e-07,0.000410428727612877
91.75,1.00008315991602,0.996448400999154,0.00178864671602869,0.00180749733672779,8.5370216711692e-30,2.23540757691278e-05,1.57382185244475e-05,2.56951498647593e-32,1.38626156298505e-31,2.50011266772373e-07,2.71580992421047e-07,-4.45450519104273e-05
92,1.00049065373793,0.996727975359852,0.00185114062481776,0.00187064987137072,9.45579949919486e-30,2.36132516084035e-05,1.66247317815334e-05,2.52175812131188e-31,9.73249585271835e-31,3.09751056192723e-07,3.36474833035313e-07,-0.000449765856040729
92.25,1.00084991730114,0.996637700448474,0.00207206263575062,0.0020939001883882,1.00518376410395e-29,2.67633310347898e-05,1.88425214541579e-05,8.94401534792454e-31,2.32671782755263e-30,3.07681523875432e-07,3.34226751786865e-07,-0.000803663272612498
92.5,1.00116080711498,0.995959055704211,0.00255944787280376,0.00258642199833506,1.00799328818526e-29,3.24852997624816e-05,2.2871030400648e-05,1.9138893042258e-30,3.87210421764711e-30,2.458093585e-07,2.67016564450649e-07,-0.00110492557535014
92.75,1.00142416392583,0.994439951783921,0.00343781522404987,0.00347404649892452,9.71111927556924e-30,4.20747214947245e-05,2.96223904793983e-05,2.93662009673707e-30,4.99798614922489e-30,2.98722672968329e-07,3.24494975889415e-07,-0.00135181350689528
93,1.00164166514736,0.991812956719024,0.00483906453585688,0.00489006363438556,9.00572348547499e-30,5.7582934266228e-05,4.05408307693094e-05,3.53640152190583e-30,5.2907668267026e-30,6.72886275189562e-07,7.3093954829408e-07,-0.00154208488926622
