Omega,A_alpha_0.0100000000,A_alpha_0.1000000000,A_alpha_0.5000000000,A_alpha_1.0000000000,A_analytic_alpha_1.0
0.4600000000,1.2667727761,1.2662378832,1.2176347695,1.0955490501,1.0955494864
0.4700000000,1.2841528284,1.2812024126,1.2288476619,1.0990359133,1.0990359418
0.4800000000,1.3027592195,1.2968563455,1.2404578847,1.1025117807,1.1025122720
0.4900000000,1.3196489078,1.3132352699,1.2524750943,1.1059693935,1.1059700521
0.5000000000,1.3332775199,1.3303795503,1.2649106452,1.1094002859,1.1094003925
0.5100000000,1.3475561019,1.3483337624,1.2777767158,1.1127937829,1.1127939319
0.5200000000,1.3662298749,1.3671450159,1.2910845074,1.1161404738,1.1161408336
0.5300000000,1.3918532108,1.3868647825,1.3048451034,1.1194299937,1.1194307834
0.5400000000,1.4155412889,1.4075483101,1.3190693636,1.1226529910,1.1226529918
0.5500000000,1.4376981221,1.4292552139,1.3337705334,1.1257961200,1.1257961997
0.5600000000,1.4598642951,1.4520510861,1.3489577717,1.1288486723,1.1288486877
0.5700000000,1.4761264079,1.4760102741,1.3646420730,1.1317974215,1.1317982904
0.5800000000,1.5050892375,1.5012080510,1.3808345394,1.1346318088,1.1346324156
0.5900000000,1.5320397041,1.5277333111,1.3975434269,1.1373380258,1.1373380684
0.6000000000,1.5688273044,1.5556778796,1.4147792031,1.1399017079,1.1399018815
0.6100000000,1.5992041951,1.5851463882,1.4325479435,1.1423093626,1.1423101511
0.6200000000,1.6229057258,1.6162546619,1.4508556969,1.1445488602,1.1445488797
0.6300000000,1.6530466938,1.6491265653,1.4697071039,1.1466026171,1.1466038248
0.6400000000,1.6864969826,1.6839012036,1.4891042380,1.1484605320,1.1484605548
0.6500000000,1.7378590979,1.7207346736,1.5090464262,1.1501042099,1.1501045115
0.6600000000,1.7741135396,1.7598012989,1.5295322468,1.1515209427,1.1515210795
0.6700000000,1.8184712094,1.8012889663,1.5505528091,1.1526943688,1.1526956616
0.6800000000,1.8687119482,1.8454127768,1.5720967745,1.1536134327,1.1536137616
0.6900000000,1.9006646364,1.8924160331,1.5941509485,1.1542599888,1.1542610717
0.7000000000,1.9647798839,1.9425688111,1.6166914396,1.1546222382,1.1546235660
0.7100000000,2.0106741613,1.9961778007,1.6396908654,1.1546870074,1.1546875983
0.7200000000,2.0853986090,2.0535890489,1.6631162347,1.1544385653,1.1544400030
0.7300000000,2.1483945766,2.1151931591,1.6869178805,1.1538680628,1.1538681996
0.7400000000,2.2062979418,2.1814424795,1.7110492709,1.1529596628,1.1529602975
0.7500000000,2.2855757333,2.2528478979,1.7354428391,1.1517049830,1.1517052012
0.7600000000,2.3547592902,2.3300074406,1.7600213097,1.1500915089,1.1500927141
0.7700000000,2.4688042506,2.4136048364,1.7847021529,1.1481132662,1.1481136391
0.7800000000,2.5522346542,2.5044286317,1.8093770373,1.1457594127,1.1457598748
0.7900000000,2.6635421602,2.6034091015,1.8339331040,1.1430243824,1.1430245051
0.8000000000,2.7715752293,2.7116253034,1.8582321036,1.1399018771,1.1399018815
0.8100000000,2.8928342671,2.8303698717,1.8821310742,1.1363871187,1.1363876953
0.8200000000,3.0659696009,2.9611498435,1.9054636749,1.1324767822,1.1324790400
0.8300000000,3.1997174531,3.1057666332,1.9280437853,1.1281736400,1.1281744600
0.8400000000,3.4095409580,3.2663783329,1.9496794383,1.1234732587,1.1234739881
0.8500000000,3.5882392873,3.4455849157,1.9701555640,1.1183790934,1.1183791668
0.8600000000,3.8283095913,3.6465160308,1.9892545685,1.1128925230,1.1128930567
0.8700000000,4.1244771334,3.8729826234,2.0067416908,1.1070197903,1.1070202281
0.8800000000,4.4023240172,4.1295751436,2.0223885780,1.1007640958,1.1007667388
0.8900000000,4.8337129347,4.4218614548,2.0359572876,1.0941384024,1.0941400962
0.9000000000,5.2464664933,4.7565124875,2.0472199882,1.0871482138,1.0871492047
0.9100000000,5.8126408781,5.1413586954,2.0559612808,1.0798041521,1.0798043004
0.9200000000,6.5076482698,5.5851932959,2.0619954307,1.0721167998,1.0721168726
0.9300000000,7.3430930137,6.0969908397,2.0651368836,1.0640984190,1.0640995736
0.9400000000,8.6173795435,6.6837746140,2.0652649947,1.0557637933,1.0557661195
0.9500000000,10.1521822466,7.3459362771,2.0622661865,1.0471305315,1.0471311827
0.9600000000,12.7061389592,8.0680308093,2.0560857424,1.0382102384,1.0382102773
0.9700000000,16.6846408548,8.8038849042,2.0467116654,1.0290196300,1.0290196404
0.9800000000,24.4304867412,9.4608586485,2.0341782409,1.0195751527,1.0195761108
0.9900000000,45.2504566601,9.9029014971,2.0185672044,1.0098942468,1.0098970060
1.0000000000,99.3122921066,9.9999999172,1.9999999834,0.9999999917,1.0000000000
1.0100000000,44.7070677329,9.7105583693,1.9786304323,0.9899021802,0.9899030041
1.0200000000,23.9221328816,9.1149590581,1.9546610028,0.9796229270,0.9796240501
1.0300000000,16.1756073116,8.3571966265,1.9283102245,0.9691796006,0.9691811797
1.0400000000,12.2028264605,7.5647891370,1.8998275108,0.9585892703,0.9585923395
1.0500000000,9.6403782600,6.8149922946,1.8694596081,0.9478743345,0.9478752826
1.0600000000,8.1202455630,6.1414283880,1.8374871127,0.9370468084,0.9370474787
1.0700000000,6.8431759528,5.5516995375,1.8041572536,0.9261234998,0.9261260325
1.0800000000,6.0041853235,5.0409248769,1.7697313397,0.9151256911,0.9151276099
1.0900000000,5.3114713515,4.5998165186,1.7344585338,0.9040679230,0.9040683739
1.1000000000,4.7282511353,4.2182427643,1.6985757235,0.8929620988,0.8929639290
1.1100000000,4.3324007878,3.8868610598,1.6622963852,0.8818284540,0.8818292744
1.1200000000,3.8982373063,3.5976027044,1.6258108465,0.8706763714,0.8706787656
1.1300000000,3.6200192378,3.3436981372,1.5893075015,0.8595253817,0.8595260840
1.1400000000,3.3272652270,3.1195742036,1.5529322642,0.8483822421,0.8483842148
1.1500000000,3.0860256159,2.9206321013,1.5168373580,0.8372633488,0.8372654313
1.1600000000,2.9051626550,2.7431217725,1.4811330193,0.8261806443,0.8261812864
1.1700000000,2.6878012042,2.5839169774,1.4459188026,0.8151416835,0.8151426096
1.1800000000,2.5600431262,2.4404616729,1.4112842768,0.8041594032,0.8041595104
1.1900000000,2.3896895689,2.3106291996,1.3772949709,0.7932413199,0.7932413852
1.2000000000,2.2669147598,2.1926373219,1.3440042922,0.7823957261,0.7823969299
1.2100000000,2.1574865589,2.0850006152,1.3114663563,0.7716340869,0.7716341551
1.2200000000,2.0310310476,1.9864619795,1.2796986859,0.7609591083,0.7609604047
1.2300000000,1.9618823067,1.8959416483,1.2487398630,0.7503823742,0.7503823776
1.2400000000,1.8459283103,1.8125272460,1.2185911012,0.7399036465,0.7399061507
1.2500000000,1.7771907474,1.7354404941,1.1892695526,0.7295351681,0.7295372041
1.2600000000,1.6987413485,1.6640077604,1.1607703257,0.7192798722,0.7192804475
1.2700000000,1.6201826655,1.5976491481,1.1330951984,0.7091382371,0.7091402471
1.2800000000,1.5744988478,1.5358432925,1.1062355357,0.6991204124,0.6991204535
1.2900000000,1.4924948893,1.4781676205,1.0801793441,0.6892237224,0.6892244295
1.3000000000,1.4519415577,1.4242182113,1.0549100485,0.6794550609,0.6794550781
1.3100000000,1.3897974964,1.3736539189,1.0304211666,0.6698145434,0.6698148702
1.3200000000,1.3396608755,1.3261827765,1.0066836415,0.6603055050,0.6603058716
1.3300000000,1.3035919281,1.2815269868,0.9836885530,0.6509267052,0.6509297699
1.3400000000,1.2453109491,1.2394529064,0.9614140287,0.6416877538,0.6416879001
1.3500000000,1.2205148370,1.1997501980,0.9398309784,0.6325802434,0.6325812701
1.3600000000,1.1685342881,1.1622271528,0.9189312570,0.6236088204,0.6236105844
1.3700000000,1.1363346074,1.1267109124,0.8986865545,0.6147751220,0.6147762678
1.3800000000,1.1047789398,1.0930524070,0.8790741694,0.6060777956,0.6060784870
1.3900000000,1.0633049212,1.0611122916,0.8600784434,0.5975164874,0.5975171723
1.4000000000,1.0476054040,1.0307620066,0.8416744026,0.5890897202,0.5890920370
1.4100000000,1.0029648730,1.0018940109,0.8238420042,0.5808025683,0.5808025972
1.4200000000,0.9824190304,0.9744002125,0.8065642987,0.5726481887,0.5726481888
1.4300000000,0.9532552913,0.9481864933,0.7898146918,0.5646279783,0.5646279852
1.4400000000,0.9240615966,0.9231728281,0.7735877225,0.5567406717,0.5567410126
1.4500000000,0.9136409187,0.8992811404,0.7578487294,0.5489841676,0.5489861652
1.4600000000,0.8748838889,0.8764397863,0.7425928578,0.5413613912,0.5413622188
1.4700000000,0.8619721823,0.8545752131,0.7277915651,0.5338657738,0.5338678438
1.4800000000,0.8344510113,0.8336319260,0.7134390340,0.5264991311,0.5265016175
1.4900000000,0.8142883063,0.8135608154,0.6995102545,0.5192597912,0.5192620350
1.5000000000,0.8000593674,0.7943006509,0.6859923195,0.5121474377,0.5121475197
1.5100000000,0.7731742263,0.7758091494,0.6728725208,0.5051538198,0.5051564329
1.5200000000,0.7652288128,0.7580430977,0.6601345804,0.4982869493,0.4982870826
1.5300000000,0.7391795061,0.7409573034,0.6477597763,0.4915376734,0.4915377319
1.5400000000,0.7256515312,0.7245230659,0.6357460244,0.4849065929,0.4849066060
1.5500000000,0.7107973553,0.7086937850,0.6240679058,0.4783908553,0.4783918999
1.5600000000,0.6906493062,0.6934501804,0.6127231055,0.4719893115,0.4719917838
1.5700000000,0.6858761201,0.6787519649,0.6016922326,0.4657042064,0.4657044097
1.5800000000,0.6613638154,0.6645756718,0.5909702115,0.4595259162,0.4595279162
1.5900000000,0.6526407983,0.6508928638,0.5805368784,0.4534579478,0.4534604334
1.6000000000,0.6371670229,0.6376804080,0.5703921550,0.4474974988,0.4475000873
1.6100000000,0.6224813508,0.6249100788,0.5605241595,0.4416437885,0.4416450037
1.6200000000,0.6196429070,0.6125729185,0.5509181132,0.4358913884,0.4358933121
1.6300000000,0.5968037360,0.6006329523,0.5415637060,0.4302428956,0.4302431483
1.6400000000,0.5915064809,0.5890869521,0.5324574409,0.4246910709,0.4246926578
1.6500000000,0.5756239880,0.5779050187,0.5235931925,0.4192390294,0.4192399983
1.6600000000,0.5652950696,0.5670762761,0.5149546389,0.4138827378,0.4138833419
1.6700000000,0.5635646373,0.5565808633,0.5065355418,0.4086207148,0.4086208771
1.6800000000,0.5425110686,0.5464068482,0.4983367375,0.4034505747,0.4034508109
1.6900000000,0.5395892197,0.5365429947,0.4903374915,0.3983694052,0.3983713702
1.7000000000,0.5236070679,0.5269724735,0.4825459087,0.3933779838,0.3933808033
1.7100000000,0.5166782753,0.5176830693,0.4749393038,0.3884747143,0.3884773810
1.7200000000,0.5079213573,0.5086603211,0.4675247606,0.3836585517,0.3836593977
1.7300000000,0.4963096348,0.4999008415,0.4602892461,0.3789245822,0.3789251724
1.7400000000,0.4949693425,0.4913840784,0.4532319398,0.3742723180,0.3742730495
1.7500000000,0.4791965424,0.4831093104,0.4463399634,0.3697010394,0.3697013990
1.7600000000,0.4748634696,0.4750617596,0.4396154288,0.3652073686,0.3652086176
1.7700000000,0.4651057028,0.4672386703,0.4330470194,0.3607924926,0.3607931287
1.7800000000,0.4565642552,0.4596194130,0.4266318187,0.3564505300,0.3564533829
1.7900000000,0.4562187554,0.4522069900,0.4203615719,0.3521859674,0.3521878583
1.8000000000,0.4409298348,0.4449932546,0.4142412820,0.3479949716,0.3479950602
1.8100000000,0.4385290139,0.4379643070,0.4082585294,0.3438723570,0.3438735217
1.8200000000,0.4280458745,0.4311159592,0.4024120685,0.3398184520,0.3398218036
1.8300000000,0.4220454488,0.4244436461,0.3966932669,0.3358383155,0.3358384940
1.8400000000,0.4222679328,0.4179387156,0.3911060458,0.3319204099,0.3319222086
1.8500000000,0.4076825233,0.4115960999,0.3856394575,0.3280715008,0.3280715903
1.8600000000,0.4066768297,0.4054125322,0.3802927108,0.3242827354,0.3242853093
1.8700000000,0.3957479391,0.3993744223,0.3750619355,0.3205614050,0.3205620623
1.8800000000,0.3917992559,0.3934887774,0.3699445157,0.3168997941,0.3169005731
1.8900000000,0.3922822417,0.3877418015,0.3649336845,0.3132990691,0.3132995915
1.9000000000,0.3785666722,0.3821301416,0.3600337538,0.3097553085,0.3097578934
1.9100000000,0.3785231790,0.3766498848,0.3552309036,0.3062726858,0.3062742804
1.9200000000,0.3674266783,0.3712982644,0.3505335588,0.3028468407,0.3028475795
1.9300000000,0.3650987290,0.3660683954,0.3459334923,0.2994754009,0.2994766426
1.9400000000,0.3656234057,0.3609584722,0.3414246408,0.2961603215,0.2961603461
1.9500000000,0.3528868051,0.3559631708,0.3370090083,0.2928955230,0.2928975909
1.9600000000,0.3534675113,0.3510795236,0.3326853245,0.2896867193,0.2896873013
1.9700000000,0.3424386200,0.3463045113,0.3284446277,0.2865277784,0.2865284251
1.9800000000,0.3413496935,0.3416345386,0.3242917153,0.2834185494,0.2834199333
1.9900000000,0.3338377115,0.3370647291,0.3202173103,0.2803574823,0.2803608192
2.0000000000,0.3300856055,0.3325917790,0.3162277431,0.2773477342,0.2773500981
