t,x_alpha_0.0001000000,x_alpha_0.1000000000,x_alpha_0.5000000000,x_alpha_1.9500000000
1.3750000000,0.1945833763,0.2290243430,0.3460495010,0.5949476517
1.3800000000,0.1896768375,0.2244398690,0.3424923120,0.5931776487
1.3850000000,0.1847655593,0.2198520770,0.3389354533,0.5914100620
1.3900000000,0.1798496644,0.2152610835,0.3353790129,0.5896449122
1.3950000000,0.1749292758,0.2106670047,0.3318230785,0.5878822195
1.4000000000,0.1700045164,0.2060699570,0.3282677376,0.5861220040
1.4050000000,0.1650755093,0.2014700568,0.3247130775,0.5843642853
1.4100000000,0.1601423779,0.1968674205,0.3211591853,0.5826090830
1.4150000000,0.1552052453,0.1922621645,0.3176061478,0.5808564164
1.4200000000,0.1502642351,0.1876544053,0.3140540516,0.5791063044
1.4250000000,0.1453194708,0.1830442591,0.3105029830,0.5773587658
1.4300000000,0.1403710760,0.1784318425,0.3069530281,0.5756138191
1.4350000000,0.1354191743,0.1738172719,0.3034042728,0.5738714826
1.4400000000,0.1304638897,0.1692006636,0.2998568027,0.5721317743
1.4450000000,0.1255053460,0.1645821341,0.2963107032,0.5703947119
1.4500000000,0.1205436671,0.1599617998,0.2927660593,0.5686603131
1.4550000000,0.1155789771,0.1553397770,0.2892229560,0.5669285951
1.4600000000,0.1106114001,0.1507161821,0.2856814778,0.5651995750
1.4650000000,0.1056410604,0.1460911315,0.2821417092,0.5634732696
1.4700000000,0.1006680821,0.1414647415,0.2786037342,0.5617496955
1.4750000000,0.0956925896,0.1368371284,0.2750676368,0.5600288692
1.4800000000,0.0907147072,0.1322084085,0.2715335004,0.5583108067
1.4850000000,0.0857345595,0.1275786979,0.2680014085,0.5565955240
1.4900000000,0.0807522709,0.1229481130,0.2644714442,0.5548830368
1.4950000000,0.0757679661,0.1183167698,0.2609436902,0.5531733606
1.5000000000,0.0707817695,0.1136847846,0.2574182292,0.5514665107
1.5050000000,0.0657938058,0.1090522734,0.2538951434,0.5497625020
1.5100000000,0.0608041998,0.1044193522,0.2503745149,0.5480613494
1.5150000000,0.0558130763,0.0997861371,0.2468564254,0.5463630675
1.5200000000,0.0508205598,0.0951527440,0.2433409565,0.5446676708
1.5250000000,0.0458267754,0.0905192888,0.2398281894,0.5429751733
1.5300000000,0.0408318478,0.0858858874,0.2363182050,0.5412855891
1.5350000000,0.0358359019,0.0812526554,0.2328110841,0.5395989320
1.5400000000,0.0308390626,0.0766197087,0.2293069070,0.5379152155
1.5450000000,0.0258414548,0.0719871628,0.2258057539,0.5362344529
1.5500000000,0.0208432035,0.0673551335,0.2223077047,0.5345566574
1.5550000000,0.0158444336,0.0627237361,0.2188128389,0.5328818420
1.5600000000,0.0108452701,0.0580930861,0.2153212359,0.5312100194
1.5650000000,0.0058458380,0.0534632990,0.2118329747,0.5295412022
1.5700000000,0.0008462622,0.0488344899,0.2083481341,0.5278754028
1.5750000000,-0.0041533322,0.0442067740,0.2048667925,0.5262126332
1.5800000000,-0.0091528203,0.0395802666,0.2013890282,0.5245529054
1.5850000000,-0.0141520771,0.0349550825,0.1979149189,0.5228962314
1.5900000000,-0.0191509776,0.0303313369,0.1944445424,0.5212426225
1.5950000000,-0.0241493968,0.0257091444,0.1909779760,0.5195920903
1.6000000000,-0.0291472097,0.0210886199,0.1875152967,0.5179446459
1.6050000000,-0.0341442915,0.0164698780,0.1840565813,0.5163003003
1.6100000000,-0.0391405172,0.0118530332,0.1806019062,0.5146590645
1.6150000000,-0.0441357619,0.0072382000,0.1771513476,0.5130209491
1.6200000000,-0.0491299007,0.0026254928,0.1737049813,0.5113859644
1.6250000000,-0.0541228088,-0.0019849743,0.1702628831,0.5097541209
1.6300000000,-0.0591143613,-0.0065930871,0.1668251281,0.5081254287
1.6350000000,-0.0641044334,-0.0111987317,0.1633917913,0.5064998977
1.6400000000,-0.0690929004,-0.0158017941,0.1599629475,0.5048775376
1.6450000000,-0.0740796377,-0.0204021606,0.1565386710,0.5032583582
1.6500000000,-0.0790645204,-0.0249997175,0.1531190359,0.5016423687
1.6550000000,-0.0840474240,-0.0295943515,0.1497041161,0.5000295784
1.6600000000,-0.0890282240,-0.0341859490,0.1462939849,0.4984199965
1.6650000000,-0.0940067958,-0.0387743968,0.1428887157,0.4968136318
1.6700000000,-0.0989830149,-0.0433595819,0.1394883813,0.4952104931
1.6750000000,-0.1039567570,-0.0479413913,0.1360930542,0.4936105890
1.6800000000,-0.1089278977,-0.0525197121,0.1327028068,0.4920139279
1.6850000000,-0.1138963126,-0.0570944316,0.1293177110,0.4904205180
1.6900000000,-0.1188618778,-0.0616654374,0.1259378385,0.4888303675
1.6950000000,-0.1238244688,-0.0662326169,0.1225632606,0.4872434842
1.7000000000,-0.1287839618,-0.0707958581,0.1191940483,0.4856598760
1.7050000000,-0.1337402328,-0.0753550487,0.1158302725,0.4840795505
1.7100000000,-0.1386931577,-0.0799100770,0.1124720034,0.4825025151
1.7150000000,-0.1436426129,-0.0844608310,0.1091193113,0.4809287772
1.7200000000,-0.1485884745,-0.0890071992,0.1057722658,0.4793583439
1.7250000000,-0.1535306189,-0.0935490702,0.1024309365,0.4777912222
1.7300000000,-0.1584689227,-0.0980863327,0.0990953925,0.4762274190
1.7350000000,-0.1634032622,-0.1026188756,0.0957657027,0.4746669409
1.7400000000,-0.1683335142,-0.1071465880,0.0924419356,0.4731097947
1.7450000000,-0.1732595554,-0.1116693591,0.0891241593,0.4715559865
1.7500000000,-0.1781812626,-0.1161870783,0.0858124418,0.4700055228
1.7550000000,-0.1830985129,-0.1206996353,0.0825068507,0.4684584097
1.7600000000,-0.1880111833,-0.1252069198,0.0792074531,0.4669146531
1.7650000000,-0.1929191509,-0.1297088219,0.0759143159,0.4653742588
1.7700000000,-0.1978222932,-0.1342052317,0.0726275059,0.4638372326
1.7750000000,-0.2027204874,-0.1386960396,0.0693470892,0.4623035800
1.7800000000,-0.2076136112,-0.1431811361,0.0660731318,0.4607733065
1.7850000000,-0.2125015422,-0.1476604120,0.0628056993,0.4592464173
1.7900000000,-0.2173841582,-0.1521337582,0.0595448570,0.4577229176
1.7950000000,-0.2222613372,-0.1566010659,0.0562906699,0.4562028124
1.8000000000,-0.2271329572,-0.1610622265,0.0530432026,0.4546861066
1.8050000000,-0.2319988965,-0.1655171315,0.0498025194,0.4531728049
1.8100000000,-0.2368590334,-0.1699656728,0.0465686842,0.4516629119
1.8150000000,-0.2417132464,-0.1744077422,0.0433417608,0.4501564322
1.8200000000,-0.2465614142,-0.1788432321,0.0401218125,0.4486533701
1.8250000000,-0.2514034155,-0.1832720348,0.0369089021,0.4471537299
1.8300000000,-0.2562391293,-0.1876940431,0.0337030925,0.4456575155
1.8350000000,-0.2610684348,-0.1921091497,0.0305044458,0.4441647311
1.8400000000,-0.2658912111,-0.1965172478,0.0273130241,0.4426753805
1.8450000000,-0.2707073378,-0.2009182307,0.0241288890,0.4411894674
1.8500000000,-0.2755166944,-0.2053119920,0.0209521019,0.4397069955
1.8550000000,-0.2803191606,-0.2096984254,0.0177827236,0.4382279682
1.8600000000,-0.2851146166,-0.2140774251,0.0146208149,0.4367523888
1.8650000000,-0.2899029422,-0.2184488852,0.0114664360,0.4352802608
1.8700000000,-0.2946840179,-0.2228127002,0.0083196470,0.4338115871
1.8750000000,-0.2994577242,-0.2271687650,0.0051805073,0.4323463709
1.8800000000,-0.3042239416,-0.2315169746,0.0020490763,0.4308846149
1.8850000000,-0.3089825511,-0.2358572241,-0.0010745870,0.4294263221
1.8900000000,-0.3137334336,-0.2401894090,-0.0041904241,0.4279714951
1.8950000000,-0.3184764705,-0.2445134252,-0.0072983767,0.4265201365
1.9000000000,-0.3232115430,-0.2488291686,-0.0103983869,0.4250722487
1.9050000000,-0.3279385330,-0.2531365356,-0.0134903971,0.4236278340
1.9100000000,-0.3326573221,-0.2574354225,-0.0165743501,0.4221868947
1.9150000000,-0.3373677925,-0.2617257263,-0.0196501890,0.4207494330
1.9200000000,-0.3420698263,-0.2660073440,-0.0227178573,0.4193154508
1.9250000000,-0.3467633061,-0.2702801729,-0.0257772987,0.4178849501
1.9300000000,-0.3514481144,-0.2745441107,-0.0288284575,0.4164579326
1.9350000000,-0.3561241343,-0.2787990551,-0.0318712781,0.4150344001
1.9400000000,-0.3607912487,-0.2830449043,-0.0349057053,0.4136143542
1.9450000000,-0.3654493410,-0.2872815569,-0.0379316844,0.4121977964
