# elem xi1 xi2 x y psi_FEM psi_exact difference
1 0.600000000000 0.200000000000 1.000000000000 0.750000000000 -0.120822080781 -0.120788313944 -0.000033766837
1 0.600000000000 0.400000000000 1.000000000000 0.875000000000 -0.123986292714 -0.124254547408 0.000268254694
1 0.600000000000 0.600000000000 1.000000000000 1.000000000000 -0.127606081600 -0.128074999682 0.000468918082
1 0.600000000000 0.800000000000 1.000000000000 1.125000000000 -0.131681447438 -0.132194083556 0.000512636118
1 0.600000000000 1.000000000000 1.000000000000 1.250000000000 -0.136212390229 -0.136558732840 0.000346342611
1 0.800000000000 -1.000000000000 1.125000000000 0.000000000000 -0.120743306503 -0.119966508311 -0.000776798191
1 0.800000000000 -0.800000000000 1.125000000000 0.125000000000 -0.121128359595 -0.120241387588 -0.000886972006
1 0.800000000000 -0.600000000000 1.125000000000 0.250000000000 -0.121931327496 -0.121060373941 -0.000870953555
1 0.800000000000 -0.400000000000 1.125000000000 0.375000000000 -0.123152210207 -0.122406894588 -0.000745315619
1 0.800000000000 -0.200000000000 1.125000000000 0.500000000000 -0.124791007728 -0.124254547408 -0.000536460320
1 0.800000000000 -0.000000000000 1.125000000000 0.625000000000 -0.126847720058 -0.126568756514 -0.000278963544
1 0.800000000000 0.200000000000 1.125000000000 0.750000000000 -0.129322347197 -0.129308783645 -0.000013563552
1 0.800000000000 0.400000000000 1.125000000000 0.875000000000 -0.132214889146 -0.132429868830 0.000214979684
1 0.800000000000 0.600000000000 1.125000000000 1.000000000000 -0.135525345904 -0.135885294647 0.000359948743
1 0.800000000000 0.800000000000 1.125000000000 1.125000000000 -0.139253717472 -0.139628216939 0.000374499467
1 0.800000000000 1.000000000000 1.125000000000 1.250000000000 -0.143400003850 -0.143613165300 0.000213161450
1 1.000000000000 -1.000000000000 1.250000000000 0.000000000000 -0.129063552413 -0.129063552413 0.000000000000
1 1.000000000000 -0.800000000000 1.250000000000 0.125000000000 -0.129476795117 -0.129308783645 -0.000168011472
1 1.000000000000 -0.600000000000 1.250000000000 0.250000000000 -0.130274154217 -0.130039975357 -0.000234178859
1 1.000000000000 -0.400000000000 1.250000000000 0.375000000000 -0.131455629714 -0.131243893502 -0.000211736211
1 1.000000000000 -0.200000000000 1.250000000000 0.500000000000 -0.133021221608 -0.132899353799 -0.000121867808
1 1.000000000000 -0.000000000000 1.250000000000 0.625000000000 -0.134970929898 -0.134978419060 0.000007489161
1 1.000000000000 0.200000000000 1.250000000000 0.750000000000 -0.137304754586 -0.137447875850 0.000143121264
1 1.000000000000 0.400000000000 1.250000000000 0.875000000000 -0.140022695670 -0.140270837967 0.000248142297
1 1.000000000000 0.600000000000 1.250000000000 1.000000000000 -0.143124753152 -0.143408332570 0.000283579418
1 1.000000000000 0.800000000000 1.250000000000 1.125000000000 -0.146610927030 -0.146820752019 0.000209824989
1 1.000000000000 1.000000000000 1.250000000000 1.250000000000 -0.150481217305 -0.150469091665 -0.000012125640
2 -1.000000000000 -1.000000000000 1.250000000000 0.000000000000 -0.129063552413 -0.129063552413 0.000000000000
