omega,average_energy
9.1,3.01580907170903e-08
9.15,3.25673490352866e-08
9.2,3.52694718872769e-08
9.25,3.83108189431815e-08
9.3,4.17258871932593e-08
9.35,4.55493351561194e-08
9.4,4.98280760224905e-08
9.45,5.45924301249369e-08
9.5,5.98325858541122e-08
9.55,6.55101509962388e-08
9.6,7.15499044060163e-08
9.65,7.77953438684813e-08
9.7,8.39906611225894e-08
9.75,8.98013873330211e-08
9.8,9.48280397927733e-08
9.85,9.86332309446262e-08
9.9,1.00832136663439e-07
9.95,1.01198443010311e-07
10,9.97055822269136e-08
10.05,9.65161455018984e-08
10.1,9.19570289863877e-08
10.15,8.64555173681689e-08
10.2,8.04371458642633e-08
10.25,7.4258341749735e-08
10.3,6.81991956605809e-08
10.35,6.2461034710244e-08
10.4,5.71545080607724e-08
10.45,5.23190308337991e-08
10.5,4.79622602396226e-08
10.55,4.40720237914064e-08
10.6,4.06128713011432e-08
10.65,3.75420486312318e-08
10.7,3.48245551564267e-08
10.75,3.24242493949874e-08
10.8,3.02990062908369e-08
10.85,2.8414573874023e-08
10.9,2.67477975052234e-08
10.95,2.52743318640475e-08
11,2.39687836253773e-08
11.05,2.28136145853656e-08
11.1,2.17940877601021e-08
11.15,2.08915754978231e-08
11.2,2.00917040721045e-08
11.25,1.93882943143429e-08
11.3,1.87731780475959e-08
11.35,1.82343031948517e-08
11.4,1.77650679206847e-08
11.45,1.736275878122e-08
11.5,1.70207759819123e-08
11.55,1.67337068158345e-08
11.6,1.65028052479442e-08
11.65,1.63273166761698e-08
11.7,1.62005511658536e-08
11.75,1.61200670675055e-08
11.8,1.60894576029143e-08
11.85,1.61085451602501e-08
11.9,1.61748168180358e-08
11.95,1.62918317719112e-08
12,1.64638303763651e-08
12.05,1.66888672659105e-08
12.1,1.69678951483948e-08
12.15,1.7310504519643e-08
12.2,1.7724214434392e-08
12.25,1.82109090481422e-08
12.3,1.87775841522794e-08
12.35,1.94364367552822e-08
12.4,2.01950838887397e-08
12.45,2.1061357690794e-08
12.5,2.20529774328338e-08
12.55,2.3189202103963e-08
12.6,2.44819490386741e-08
12.65,2.59461027586605e-08
12.7,2.76058593426396e-08
12.75,2.94825537181338e-08
12.8,3.15898551226501e-08
12.85,3.39420865604709e-08
12.9,3.6546962239837e-08
12.95,3.93856087160721e-08
13,4.24096204037159e-08
13.05,4.55448809285401e-08
13.1,4.86758380456082e-08
13.15,5.16320995025372e-08
13.2,5.42073513239603e-08
13.25,5.61914465739027e-08
13.3,5.73960865154901e-08
13.35,5.7692479028811e-08
13.4,5.70564989870891e-08
13.45,5.55767458675955e-08
13.5,5.34184954060954e-08
13.55,5.07849319486316e-08
13.6,4.78892634563518e-08
13.65,4.49213594948735e-08
13.7,4.20218976958179e-08
13.75,3.92856233230082e-08
13.8,3.67743152216317e-08
13.85,3.45172972184869e-08
13.9,3.25156899175433e-08
13.95,3.07599695416749e-08
14,2.9238725021331e-08
14.05,2.79340950391198e-08
14.1,2.68249827517378e-08
14.15,2.58956720964107e-08
14.2,2.51322267241888e-08
14.25,2.45171493124429e-08
14.3,2.40367910713763e-08
14.35,2.36855202632572e-08
14.4,2.34569157879524e-08
14.45,2.33414524870629e-08
14.5,2.33348177083314e-08
14.55,2.34368530652543e-08
14.6,2.36441004272907e-08
14.65,2.39547398951731e-08
14.7,2.43753508320863e-08
14.75,2.49129681494646e-08
14.8,2.55693945157581e-08
14.85,2.63507614668311e-08
14.9,2.72713165871735e-08
14.95,2.83439733748614e-08
15,2.95804873466671e-08
