t,energy,center,max_abs_u
24.6,1.45080520362689e-08,0.000159689343389304,0.000159689343389304
24.60625,1.44330073452719e-08,0.000159031619147761,0.000159031619147761
24.6125,1.43509057977935e-08,0.000158312585334117,0.000158312585334117
24.61875,1.42618739942578e-08,0.000157532519107145,0.000157532519107145
24.625,1.41660492156122e-08,0.00015669172106806,0.00015669172106806
24.63125,1.40635792168858e-08,0.000155790515339006,0.000155790515339006
24.6375,1.39546220017215e-08,0.000154829249438199,0.000154829249438199
24.64375,1.38393455770314e-08,0.00015380829403894,0.00015380829403894
24.65,1.37179276910813e-08,0.000152728042767705,0.000152728042767705
24.65625,1.3590555558403e-08,0.000151588912035685,0.000151588912035685
24.6625,1.34574255729918e-08,0.000150391340882653,0.000150391340882653
24.66875,1.33187430089295e-08,0.000149135790894214,0.000149135790894214
24.675,1.31747217058183e-08,0.000147822746144486,0.000147822746144486
24.68125,1.30255837372723e-08,0.000146452712978438,0.000146452712978438
24.6875,1.28715590645056e-08,0.000145026219626736,0.000145026219626736
24.69375,1.27128851800365e-08,0.000143543815914698,0.000143543815914698
24.7,1.2549806744739e-08,0.000142006073202698,0.000142006073202698
24.70625,1.23825752163227e-08,0.000140413584343491,0.000140413584343491
24.7125,1.22114484641365e-08,0.000138766963434885,0.000138766963434885
24.71875,1.20366903673506e-08,0.000137066845453189,0.000137066845453189
24.725,1.18585703994228e-08,0.000135313885934432,0.000135313885934432
24.73125,1.16773632064064e-08,0.000133508760681464,0.000133508760681464
24.7375,1.14933481856238e-08,0.00013165216546298,0.00013165216546298
24.74375,1.13068090643551e-08,0.000129744815828277,0.000129744815828277
24.75,1.11180334712959e-08,0.000127787447050367,0.000127787447050367
24.75625,1.09273124938178e-08,0.000125780813926828,0.000125780813926828
24.7625,1.07349402218545e-08,0.000123725690280702,0.000123725690280702
24.76875,1.05412132863578e-08,0.000121622868436932,0.000121622868436932
24.775,1.03464303993531e-08,0.000119473158980008,0.000119473158980008
24.78125,1.01508918959072e-08,0.000117277390637919,0.000117277390637919
24.7875,9.95489927425924e-09,0.000115036409954802,0.000115036409954802
24.79375,9.75875473248759e-09,0.000112751080799501,0.000112751080799501
24.8,9.56276070368863e-09,0.000110422284023308,0.000110422284023308
24.80625,9.36721939149625e-09,0.000108050917296475,0.000108050917296475
24.8125,9.17243230516791e-09,0.00010563789485334,0.00010563789485334
24.81875,8.97869979310336e-09,0.00010318414704352,0.00010318414704352
24.825,8.78632057647046e-09,0.000100690619858044,0.000100690619858044
24.83125,8.59559128686862e-09,9.81582745405521e-05,9.81582745405521e-05
24.8375,8.40680601069598e-09,9.55880872378715e-05,9.55880872378715e-05
24.84375,8.22025583945117e-09,9.29810486892664e-05,9.29810486892664e-05
24.85,8.03622842313612e-09,9.03381639761865e-05,9.03381639761865e-05
24.85625,7.85500752512339e-09,8.76604521902707e-05,8.76604521902707e-05
24.8625,7.67687258021155e-09,8.49489458698833e-05,8.49489458698833e-05
24.86875,7.50209826019199e-09,8.22046903648617e-05,8.22046903648617e-05
24.875,7.33095405058145e-09,7.94287434376908e-05,7.94287434376908e-05
24.88125,7.16370383861788e-09,7.66221750895066e-05,7.66221750895066e-05
24.8875,7.00060550970008e-09,7.37860672905746e-05,7.37860672905746e-05
24.89375,6.84191055030215e-09,7.09215134760451e-05,7.09215134760451e-05
24.9,6.68786365870514e-09,6.80296180098179e-05,6.80296180098179e-05
24.90625,6.53870236643072e-09,6.51114957844264e-05,6.51114957844264e-05
24.9125,6.39465667166536e-09,6.21682718523222e-05,6.21682718523222e-05
24.91875,6.25594868429314e-09,5.92010809495535e-05,5.92010809495535e-05
24.925,6.12279228284865e-09,5.62110669748465e-05,5.62110669748465e-05
24.93125,5.99539278485796e-09,5.31993825624307e-05,5.31993825624307e-05
24.9375,5.87394663116134e-09,5.01671887462213e-05,5.01671887462213e-05
24.94375,5.75864108333884e-09,4.71156545796823e-05,4.71156545796823e-05
24.95,5.64965393410295e-09,4.40459566045001e-05,4.40459566045001e-05
24.95625,5.54715323248285e-09,4.09592782267958e-05,4.09592782267958e-05
24.9625,5.45129702549268e-09,3.78568092121496e-05,3.78568092121496e-05
24.96875,5.36223311579469e-09,3.47397454225494e-05,3.47397454225494e-05
24.975,5.28009883407329e-09,3.16092885875553e-05,3.16092885875553e-05
24.98125,5.20502082646206e-09,2.84666457742837e-05,2.84666457742837e-05
24.9875,5.13711485859468e-09,2.53130286102379e-05,2.53130286102379e-05
24.99375,5.07648563699878e-09,2.21496527144917e-05,2.21496527144917e-05
25,5.0232266475933e-09,1.89777375121463e-05,1.89777375121463e-05
25.00625,4.97742001157084e-09,1.57985059919655e-05,1.69464512335312e-05
25.0125,4.93913635937191e-09,1.26131840221383e-05,1.5294360452131e-05
25.01875,4.90843472245506e-09,9.42299954630108e-06,1.38022936570025e-05
25.025,4.88536244192582e-09,6.22918219395962e-06,1.24173040336262e-05
25.03125,4.86995509442883e-09,3.03296317147976e-06,1.11207252896164e-05
25.0375,4.86223643701651e-09,-1.64425154608905e-07,9.90127935975885e-06
25.04375,4.86221837151224e-09,-3.36175005346143e-06,8.75017888775369e-06
25.05,4.86990092681564e-09,-6.55777905778707e-06,7.6635951069771e-06
25.05625,4.8852722580833e-09,-9.7512801790333e-06,9.7512801790333e-06
25.0625,4.90830866414152e-09,-1.29410221532013e-05,1.29410221532013e-05
25.06875,4.93897462483103e-09,-1.61257750930602e-05,1.61257750930602e-05
25.075,4.97722285733613e-09,-1.93043112563232e-05,1.93043112563232e-05
25.08125,5.02299438890146e-09,-2.24754054742385e-05,2.24754054742385e-05
25.0875,5.07621864546396e-09,-2.56378353256945e-05,2.56378353256945e-05
25.09375,5.13681355868186e-09,-2.87903814909643e-05,2.87903814909643e-05
25.1,5.20468569329988e-09,-3.19318284054616e-05,3.19318284054616e-05
25.10625,5.27973039350843e-09,-3.50609649261556e-05,3.50609649261556e-05
25.1125,5.36183194547631e-09,-3.81765847845726e-05,3.81765847845726e-05
25.11875,5.45086375517321e-09,-4.12774869143721e-05,4.12774869143721e-05
25.125,5.54668854273424e-09,-4.43624758446319e-05,4.43624758446319e-05
25.13125,5.64915855415828e-09,-4.74303622063668e-05,4.74303622063668e-05
25.1375,5.75811578943611e-09,-5.04799632635478e-05,5.04799632635478e-05
25.14375,5.87339224589542e-09,-5.35101033799837e-05,5.35101033799837e-05
25.15,5.99481017660051e-09,-5.65196144188032e-05,5.65196144188032e-05
25.15625,6.1221823642298e-09,-5.95073361455912e-05,5.95073361455912e-05
25.1625,6.25531241039675e-09,-6.24721166965422e-05,6.24721166965422e-05
25.16875,6.39399503951157e-09,-6.54128130877099e-05,6.54128130877099e-05
25.175,6.53801641557599e-09,-6.83282916823038e-05,6.83282916823038e-05
25.18125,6.68715447054677e-09,-7.12174285743658e-05,7.12174285743658e-05
25.1875,6.84117924472505e-09,-7.40791099409858e-05,7.40791099409858e-05
25.19375,6.9998532412861e-09,-7.69122324595414e-05,7.69122324595414e-05
25.2,7.16293179541209e-09,-7.97157038264478e-05,7.97157038264478e-05
25.20625,7.33016345441127e-09,-8.24884432861032e-05,8.24884432861032e-05
25.2125,7.5012903644233e-09,-8.52293820267228e-05,8.52293820267228e-05
25.21875,7.67604866397995e-09,-8.79374634430875e-05,8.79374634430875e-05
25.225,7.85416888850231e-09,-9.06116434568833e-05,9.06116434568833e-05
25.23125,8.03537638697044e-09,-9.32508910164196e-05,9.32508910164196e-05
25.2375,8.21939174708609e-09,-9.58541886170146e-05,9.58541886170146e-05
25.24375,8.40593122621694e-09,-9.84205326426869e-05,9.84205326426869e-05
25.25,8.5947071899341e-09,-0.000100948933642467,0.000100948933642467
25.25625,8.78542855906883e-09,-0.000103438416788026,0.000103438416788026
25.2625,8.97780126055537e-09,-0.000105888022421601,0.000105888022421601
25.26875,9.17152867727271e-09,-0.000108296806366953,0.000108296806366953
25.275,9.36631209967976e-09,-0.000110663840033261,0.000110663840033261
25.28125,9.56185118561865e-09,-0.000112988210726051,0.000112988210726051
25.2875,9.75784442777198e-09,-0.00011526902226819,0.00011526902226819
25.29375,9.95398962123671e-09,-0.000117505395498625,0.000117505395498625
25.3,1.01499843272176e-08,-0.000119696468396376,0.000119696468396376
25.30625,1.03455263365732e-08,-0.000121841396196976,0.000121841396196976
25.3125,1.05403141364428e-08,-0.000123939351854378,0.000123939351854378
25.31875,1.07340473766166e-08,-0.000125989526580948,0.000125989526580948
25.325,1.09264273315862e-08,-0.000127991130072296,0.000127991130072296
25.33125,1.11171573601222e-08,-0.000129943390597054,0.000129943390597054
25.3375,1.13059433656938e-08,-0.000131845555359658,0.000131845555359658
25.34375,1.14924942548608e-08,-0.000133696891033057,0.000133696891033057
25.35,1.1676522386987e-08,-0.000135496684048575,0.000135496684048575
25.35625,1.18577440134515e-08,-0.000137244240655431,0.000137244240655431
25.3625,1.20358797104033e-08,-0.000138938887121435,0.000138938887121435
25.36875,1.2210654807802e-08,-0.000140579970124237,0.000140579970124237
25.375,1.23817998128568e-08,-0.000142166857030096,0.000142166857030096
25.38125,1.25490508258951e-08,-0.000143698936007806,0.000143698936007806
25.3875,1.27121499498271e-08,-0.000145175616255153,0.000145175616255153
25.39375,1.28708456936274e-08,-0.000146596328404692,0.000146596328404692
25.4,1.30248933651551e-08,-0.000147960524843806,0.000147960524843806
25.40625,1.31740554467042e-08,-0.000149267679820886,0.000149267679820886
25.4125,1.33181019523345e-08,-0.000150517289508597,0.000150517289508597
25.41875,1.3456810773854e-08,-0.000151708872151137,0.000151708872151137
25.425,1.35899680231586e-08,-0.000152841968254143,0.000152841968254143
25.43125,1.37173683704036e-08,-0.000153916140824597,0.000153916140824597
25.4375,1.38388153687063e-08,-0.000154930975686266,0.000154930975686266
25.44375,1.3954121757019e-08,-0.000155886081704651,0.000155886081704651
25.45,1.40631097427721e-08,-0.000156781090771122,0.000156781090771122
25.45625,1.41656112727142e-08,-0.000157615657762778,0.000157615657762778
25.4625,1.42614682954449e-08,-0.000158389460784194,0.000158389460784194
25.46875,1.43505330095114e-08,-0.000159102201538825,0.000159102201538825
25.475,1.44326680899792e-08,-0.000159753605425001,0.000159753605425001
25.48125,1.45077468946952e-08,-0.000160343421388199,0.000160343421388199
25.4875,1.45756536566501e-08,-0.000160871421947283,0.000160871421947283
25.49375,1.46362836643527e-08,-0.000161337403471712,0.000161337403471712
25.5,1.46895434261326e-08,-0.000161741186345214,0.000161741186345214
25.50625,1.47353508152997e-08,-0.000162082614893043,0.000162082614893043
25.5125,1.47736351971012e-08,-0.00016236155738652,0.00016236155738652
25.51875,1.48043375379336e-08,-0.000162577906249173,0.000162577906249173
25.525,1.48274104948956e-08,-0.000162731578155044,0.000162731578155044
25.53125,1.48428184862438e-08,-0.000162822513874788,0.000162822513874788
25.5375,1.48505377473809e-08,-0.000162850678196875,0.000162850678196875
25.54375,1.48505563737349e-08,-0.000162816060142701,0.000162816060142701
25.55,1.48428743436708e-08,-0.000162718673170889,0.000162718673170889
25.55625,1.48275035143034e-08,-0.000162558555046988,0.000162558555046988
25.5625,1.48044675937219e-08,-0.000162335767568514,0.000162335767568514
25.56875,1.47738021005273e-08,-0.000162050396515567,0.000162050396515567
25.575,1.47355543146444e-08,-0.00016170255180586,0.00016170255180586
25.58125,1.46897832114379e-08,-0.00016129236755715,0.00016129236755715
25.5875,1.46365593707709e-08,-0.000160820001965565,0.000160820001965565
25.59375,1.4575964863288e-08,-0.000160285637161268,0.000160285637161268
25.6,1.45080931219868e-08,-0.000159689479146455,0.000159689479146455
25.60625,1.44330488009406e-08,-0.000159031757760614,0.000159031757760614
25.6125,1.43509476158147e-08,-0.000158312726599103,0.000158312726599103
25.61875,1.42619161634425e-08,-0.000157532662878084,0.000157532662878084
25.625,1.41660917247488e-08,-0.000156691867295448,0.000156691867295448
25.63125,1.40636220551375e-08,-0.000155790663954126,0.000155790663954126
25.6375,1.39546651598104e-08,-0.000154829400329256,0.000154829400329256
25.64375,1.38393890492469e-08,-0.000153808447140378,0.000153808447140378
