t,norm,energy,x_avg,y_avg
0.321,1,1.66523,0.446991,0.148371
0.322,1,1.66523,0.446843,0.148818
0.323,1,1.66523,0.446694,0.149264
0.324,1,1.66523,0.446545,0.149709
0.325,1,1.66523,0.446395,0.150155
0.326,1,1.66523,0.446245,0.150601
0.327,1,1.66523,0.446095,0.151046
0.328,1,1.66523,0.445944,0.151492
0.329,1,1.66523,0.445793,0.151937
0.33,1,1.66523,0.445641,0.152382
0.331,1,1.66523,0.445489,0.152827
0.332,1,1.66523,0.445336,0.153271
0.333,1,1.66523,0.445183,0.153716
0.334,1,1.66523,0.445029,0.15416
0.335,1,1.66523,0.444875,0.154604
0.336,1,1.66523,0.444721,0.155048
0.337,1,1.66523,0.444566,0.155492
0.338,1,1.66523,0.44441,0.155936
0.339,1,1.66523,0.444255,0.15638
0.34,1,1.66523,0.444098,0.156823
0.341,1,1.66523,0.443942,0.157266
0.342,1,1.66523,0.443785,0.15771
0.343,1,1.66523,0.443627,0.158152
0.344,1,1.66523,0.443469,0.158595
0.345,1,1.66523,0.443311,0.159038
0.346,1,1.66523,0.443152,0.15948
0.347,1,1.66523,0.442992,0.159923
0.348,1,1.66523,0.442833,0.160365
0.349,1,1.66523,0.442672,0.160807
0.35,1,1.66523,0.442512,0.161249
0.351,1,1.66523,0.442351,0.161691
0.352,1,1.66523,0.442189,0.162132
0.353,1,1.66523,0.442027,0.162573
0.354,1,1.66523,0.441865,0.163015
0.355,1,1.66523,0.441702,0.163456
0.356,1,1.66523,0.441539,0.163897
0.357,1,1.66523,0.441375,0.164337
0.358,1,1.66523,0.441211,0.164778
0.359,1,1.66523,0.441046,0.165218
0.36,1,1.66523,0.440881,0.165659
0.361,1,1.66523,0.440715,0.166099
0.362,1,1.66523,0.440549,0.166538
0.363,1,1.66523,0.440383,0.166978
0.364,1,1.66523,0.440216,0.167418
0.365,1,1.66523,0.440049,0.167857
0.366,1,1.66523,0.439881,0.168296
0.367,1,1.66523,0.439713,0.168735
0.368,1,1.66523,0.439545,0.169174
0.369,1,1.66523,0.439376,0.169613
0.37,1,1.66523,0.439206,0.170052
0.371,1,1.66523,0.439036,0.17049
0.372,1,1.66523,0.438866,0.170928
0.373,1,1.66523,0.438695,0.171366
0.374,1,1.66523,0.438524,0.171804
0.375,1,1.66523,0.438352,0.172242
0.376,1,1.66523,0.43818,0.172679
0.377,1,1.66523,0.438008,0.173117
0.378,1,1.66523,0.437835,0.173554
0.379,1,1.66523,0.437662,0.173991
0.38,1,1.66523,0.437488,0.174428
0.381,1,1.66523,0.437314,0.174865
0.382,1,1.66523,0.437139,0.175301
0.383,1,1.66523,0.436964,0.175737
0.384,1,1.66523,0.436788,0.176173
0.385,1,1.66523,0.436612,0.176609
0.386,1,1.66523,0.436436,0.177045
0.387,1,1.66523,0.436259,0.177481
0.388,1,1.66523,0.436082,0.177916
0.389,1,1.66523,0.435904,0.178352
0.39,1,1.66523,0.435726,0.178787
0.391,1,1.66523,0.435547,0.179221
0.392,1,1.66523,0.435368,0.179656
0.393,1,1.66523,0.435189,0.180091
0.394,1,1.66523,0.435009,0.180525
0.395,1,1.66523,0.434829,0.180959
0.396,1,1.66523,0.434648,0.181393
