t,norm,energy,x_avg,y_avg
0.264,1,1.49855,0.682051,-1.95954e-18
0.265,1,1.49855,0.681867,4.23413e-18
0.266,1,1.49855,0.681683,2.9326e-18
0.267,1,1.49855,0.681497,9.78962e-18
0.268,1,1.49855,0.681311,-1.07481e-17
0.269,1,1.49855,0.681125,7.39693e-18
0.27,1,1.49855,0.680937,1.08528e-17
0.271,1,1.49855,0.680749,-7.35977e-18
0.272,1,1.49855,0.680561,2.05131e-18
0.273,1,1.49855,0.680371,-6.6586e-19
0.274,1,1.49855,0.680181,-8.78109e-18
0.275,1,1.49855,0.67999,-1.73647e-17
0.276,1,1.49855,0.679799,1.95441e-18
0.277,1,1.49855,0.679607,-4.08324e-19
0.278,1,1.49855,0.679414,-3.31246e-18
0.279,1,1.49855,0.679221,-1.49366e-18
0.28,1,1.49855,0.679026,1.67989e-17
0.281,1,1.49855,0.678832,6.83309e-18
0.282,1,1.49855,0.678636,-4.6243e-18
0.283,1,1.49855,0.67844,-3.20183e-18
0.284,1,1.49855,0.678243,2.19198e-18
0.285,1,1.49855,0.678046,-5.47906e-18
0.286,1,1.49855,0.677847,3.0532e-18
0.287,1,1.49855,0.677649,3.32016e-18
0.288,1,1.49855,0.677449,-6.93936e-18
0.289,1,1.49855,0.677249,-6.32899e-18
0.29,1,1.49855,0.677048,-2.08969e-18
0.291,1,1.49855,0.676846,-1.16809e-17
0.292,1,1.49855,0.676644,-7.85236e-18
0.293,1,1.49855,0.676441,4.37994e-18
0.294,1,1.49855,0.676238,4.55314e-18
0.295,1,1.49855,0.676033,-1.18095e-18
0.296,1,1.49855,0.675828,-1.86055e-18
0.297,1,1.49855,0.675623,3.08716e-18
0.298,1,1.49855,0.675416,-8.56787e-18
0.299,1,1.49855,0.675209,4.9716e-18
0.3,1,1.49855,0.675002,-3.41395e-18
0.301,1,1.49855,0.674794,6.64856e-18
0.302,1,1.49855,0.674585,5.69411e-18
0.303,1,1.49855,0.674375,1.4424e-17
0.304,1,1.49855,0.674165,-1.93413e-18
0.305,1,1.49855,0.673954,-2.93248e-18
0.306,1,1.49855,0.673742,-8.75544e-19
0.307,1,1.49855,0.67353,-1.03164e-17
0.308,1,1.49855,0.673317,-5.05309e-18
0.309,1,1.49855,0.673103,3.33807e-18
0.31,1,1.49855,0.672889,-2.62358e-18
0.311,1,1.49855,0.672674,-8.34239e-18
0.312,1,1.49855,0.672458,-3.21099e-18
