t,min_u,max_u,mass,center_x,center_y,shape_error
0.66,1.14047122838621e-07,0.632125742936258,1.57079393714646,2.5,2.5,0.27287236844378
0.68,1.35115653154228e-07,0.625695530804941,1.57079393714646,2.5,2.5,0.278728980334864
0.7,1.59556380621257e-07,0.619396821807513,1.57079393714646,2.5,2.5,0.284487763531441
0.72,1.87818850518851e-07,0.613225563055751,1.57079393714646,2.5,2.5,0.290151253366311
0.74,2.20399040143288e-07,0.607177868897829,1.57079393714646,2.5,2.5,0.295721895003285
0.76,2.57842478904195e-07,0.601250012261034,1.57079393714646,2.5,2.5,0.301202047555189
0.78,3.00747412829194e-07,0.595438416533954,1.57079393714646,2.5,2.5,0.306593987971739
0.8,3.49768000722872e-07,0.589739647948811,1.57079393714646,2.5,2.5,0.311899914712535
0.82,4.05617528806791e-07,0.584150408427902,1.57079393714646,2.5,2.5,0.317121951219251
0.84,4.69071630358363e-07,0.578667528861081,1.57079393714646,2.5,2.5,0.322262149200059
0.86,5.40971496667514e-07,0.573287962783915,1.57079393714646,2.5,2.5,0.32732249173829
0.88,6.22227065539783e-07,0.568008780428601,1.57079393714646,2.5,2.5,0.332304896236494
0.9,7.13820173590085e-07,0.562827163121945,1.57079393714646,2.5,2.5,0.337211217206212
0.92,8.16807658688931e-07,0.557740398006733,1.57079393714646,2.5,2.5,0.342043248913037
0.94,9.32324399137553e-07,0.552745873064695,1.57079393714646,2.5,2.5,0.346802727885838
0.96,1.0615862764546e-06,0.547841072420909,1.57079393714646,2.5,2.5,0.351491335298404
0.98,1.20589304904828e-06,0.543023571911056,1.57079393714646,2.5,2.5,0.356110699231181
1,1.36663112451726e-06,0.538291034894337,1.57079393714646,2.5,2.5,0.360662396820223
1.02,1.54527621886404e-06,0.533641208296149,1.57079393714646,2.5,2.5,0.365147956300025
1.04,1.74339589150783e-06,0.529071918865788,1.57079393714646,2.5,2.5,0.369568858946397
1.06,1.96265194564347e-06,0.52458106963554,1.57079393714646,2.5,2.5,0.373926540925182
1.08,2.20480268419924e-06,0.520166636568499,1.57079393714645,2.5,2.5,0.378222395052185
1.1,2.4717050123934e-06,0.51582666538336,1.57079393714645,2.5,2.5,0.382457772469343
1.12,2.76531637866822e-06,0.511559268545295,1.57079393714645,2.5,2.5,0.38663398424185
1.14,3.08769654658415e-06,0.507362622412749,1.57079393714645,2.5,2.5,0.390752302880611
1.16,3.44100919107822e-06,0.503234964530736,1.57079393714645,2.5,2.5,0.394813963794158
1.18,3.82752331332356e-06,0.499174591061848,1.57079393714645,2.5,2.5,0.398820166673863
1.2,4.24961446926373e-06,0.495179854346805,1.57079393714645,2.5,2.5,0.402772076816062
1.22,4.70976580773103e-06,0.491249160586913,1.57079393714645,2.5,2.5,0.406670826384474
1.24,5.21056891488647e-06,0.487380967641324,1.57079393714645,2.5,2.5,0.410517515616077
1.26,5.75472446253484e-06,0.483573782932467,1.57079393714645,2.5,2.5,0.414313213973444
1.28,6.34504265866795e-06,0.47982616145343,1.57079393714645,2.5,2.5,0.418058961246296
1.3,6.98444349936664e-06,0.476136703871535,1.57079393714645,2.5,2.5,0.421755768604947
1.32,7.67595682194578e-06,0.472504054722658,1.57079393714645,2.5,2.5,0.425404619608071
1.34,8.42272215995138e-06,0.468926900691238,1.57079393714645,2.5,2.5,0.429006471167155
1.36,9.22798840131317e-06,0.465403968971241,1.57079393714645,2.5,2.5,0.432562254469783
1.38,1.00951132516168e-05,0.461934025703614,1.57079393714645,2.5,2.5,0.436072875863864
1.4,1.10275625050856e-05,0.458515874486081,1.57079393714645,2.5,2.5,0.439539217704703
1.42,1.20289091264508e-05,0.45514835495137,1.57079393714645,2.5,2.5,0.442962139166766
1.44,1.31028321474389e-05,0.451830341410193,1.57079393714645,2.5,2.5,0.446342477021878
1.46,1.42531153821183e-05,0.448560741555563,1.57079393714645,2.5,2.5,0.449681046385457
1.48,1.5483645965819e-05,0.445338495225188,1.57079393714645,2.5,2.5,0.452978641432353
1.5,1.67984127227713e-05,0.442162573218929,1.57079393714645,2.5,2.5,0.456236036083721
1.52,1.82015043680049e-05,0.439031976168451,1.57079393714645,2.5,2.5,0.459453984666328
1.54,1.9697107549402e-05,0.435945733456378,1.57079393714645,2.5,2.5,0.462633222545577
1.56,2.12895047361147e-05,0.432902902182439,1.57079393714645,2.5,2.5,0.465774466733476
1.58,2.29830719598331e-05,0.429902566174209,1.57079393714645,2.5,2.5,0.468878416472737
1.6,2.47822764156334e-05,0.426943835040204,1.57079393714645,2.5,2.5,0.471945753798077
1.62,2.66916739293365e-05,0.424025843263218,1.57079393714645,2.5,2.5,0.474977144075794
1.64,2.87159062984802e-05,0.421147749331917,1.57079393714645,2.5,2.5,0.477973236522586
1.66,3.08596985141421e-05,0.418308734908783,1.57079393714645,2.5,2.5,0.480934664704567
1.68,3.31278558709551e-05,0.415508004032664,1.57079393714645,2.5,2.5,0.483862047017345
1.7,3.55252609727313e-05,0.412744782354229,1.57079393714645,2.5,2.5,0.486755987148042
1.72,3.80568706411537e-05,0.410018316402756,1.57079393714645,2.5,2.5,0.489617074520026
1.74,4.07277127350112e-05,0.407327872882758,1.57079393714645,2.5,2.5,0.492445884721116
1.76,4.35428828874448e-05,0.40467273799902,1.57079393714645,2.5,2.5,0.495242979916016
1.78,4.65075411686386e-05,0.402052216808722,1.57079393714645,2.5,2.5,0.498008909243618
1.8,4.96269086813315e-05,0.399465632599375,1.57079393714645,2.5,2.5,0.500744209199855
1.82,5.29062640964523e-05,0.396912326291374,1.57079393714645,2.5,2.5,0.503449404006723
1.84,5.63509401360791e-05,0.394391655864021,1.57079393714645,2.5,2.5,0.506125005968041
1.86,5.99663200108129e-05,0.391902995803968,1.57079393714645,2.5,2.5,0.508771515812543
1.88,6.3757833818523e-05,0.389445736575033,1.57079393714645,2.5,2.5,0.511389423024799
1.9,6.77309549112757e-05,0.387019284108438,1.57079393714645,2.5,2.5,0.5139792061645
1.92,7.18911962370999e-05,0.38462305931255,1.57079393714645,2.5,2.5,0.516541333174589
1.94,7.624410666307e-05,0.382256497601258,1.57079393714645,2.5,2.5,0.519076261678675
1.96,8.07952672860067e-05,0.379919048440153,1.57079393714645,2.5,2.5,0.521584439268204
1.98,8.55502877369034e-05,0.377610174909733,1.57079393714645,2.5,2.5,0.524066303779778
2,9.05148024849903e-05,0.375329353284889,1.57079393714645,2.5,2.5,0.526522283563037
2.02,9.56944671471352e-05,0.373076072629967,1.57079393714645,2.5,2.5,0.528952797739481
2.04,0.00010109495480808,0.370849834408724,1.57079393714645,2.5,2.5,0.531358256452581
2.06,0.000106721952356779,0.368650152108553,1.57079393714645,2.5,2.5,0.533739061109562
2.08,0.000112581156843911,0.366476550878359,1.57079393714645,2.5,2.5,0.536095604615144
2.1,0.000118678271865376,0.364328567179515,1.57079393714645,2.5,2.5,0.538428271597588
2.12,0.000125019003976408,0.362205748449336,1.57079393714645,2.5,2.5,0.540737438627337
2.14,0.000131609059140679,0.36010765277657,1.57079393714645,2.5,2.5,0.543023474428548
2.16,0.000138454139218547,0.358033848588378,1.57079393714645,2.5,2.5,0.545286740083775
2.18,0.000145559938498395,0.355983914348353,1.57079393714645,2.5,2.5,0.547527589232083
2.2,0.000152932140274765,0.353957438265115,1.57079393714645,2.5,2.5,0.549746368260837
2.22,0.000160576413476774,0.35195401801104,1.57079393714645,2.5,2.5,0.551943416491405
2.24,0.000168498409350093,0.349973260450742,1.57079393714645,2.5,2.5,0.554119066359007
2.26,0.00017670375819553,0.348014781378875,1.57079393714645,2.5,2.5,0.556273643586936
2.28,0.000185198066167072,0.346078205266915,1.57079393714645,2.5,2.5,0.55840746735535
2.3,0.000193986912132007,0.344163165018552,1.57079393714645,2.5,2.5,0.560520850464843
2.32,0.000203075844595564,0.342269301733342,1.57079393714645,2.5,2.5,0.562614099494993
2.34,0.000212470378692294,0.340396264478313,1.57079393714645,2.5,2.5,0.564687514958068
