t,min_u,max_u,mass,center_x,center_y,shape_error
0.42,1.2245744150423e-08,0.728969526082367,1.57079393714646,2.91996957375155,2.91996957375155,0.193747908692042
0.44,1.64197508098878e-08,0.726352960783327,1.57079393714646,2.93996812488257,2.93996812488257,0.201013248715288
0.46,2.28217402896991e-08,0.722044103603986,1.57079393714646,2.9599666760136,2.9599666760136,0.208141621895833
0.48,3.26038370822976e-08,0.716134006595786,1.57079393714646,2.97996522714462,2.97996522714462,0.215137064410048
0.5,4.49184854494588e-08,0.708719640076671,1.57079393714646,2.99996377827565,2.99996377827565,0.222003448080695
0.52,4.60453725989912e-08,0.699902520675752,1.57079393714646,3.01996232940668,3.01996232940668,0.228744489002219
0.54,4.82759676245065e-08,0.689787417346583,1.57079393714646,3.0399608805377,3.0399608805377,0.235363755610233
0.56,5.26040536955181e-08,0.678481144502328,1.57079393714646,3.05995943166873,3.05995943166873,0.24186467623795
0.58,5.97125883155109e-08,0.666091448847845,1.57079393714646,3.07995798279976,3.07995798279976,0.248250546198578
0.6,7.06139867386367e-08,0.652725994160786,1.57079393714646,3.09995653393078,3.09995653393078,0.254524534429334
0.62,8.67928576022687e-08,0.651523532699077,1.57079393714646,3.11995508506181,3.11995508506181,0.260689689072907
0.64,1.10404023721535e-07,0.649459120557619,1.57079393714646,3.13995363619283,3.13995363619283,0.266748945162847
0.66,1.44543351947101e-07,0.646043349484347,1.57079393714646,3.15995218732386,3.15995218732386,0.272705128371017
0.68,1.93613097975641e-07,0.641340653914424,1.57079393714646,3.17995073845489,3.17995073845489,0.278560960770599
0.7,2.50031419292634e-07,0.635420186830093,1.57079393714646,3.19994928958591,3.19994928958591,0.284319065715953
0.72,2.5341888649102e-07,0.62835491346661,1.57079393714646,3.21994784071694,3.21994784071694,0.289981972441481
0.74,2.64523246474848e-07,0.620220742344658,1.57079393714646,3.23994639184796,3.23994639184796,0.295552120398846
0.76,2.85032968807396e-07,0.611095700648609,1.57079393714646,3.25994494297899,3.25994494297899,0.301031863350391
0.78,3.17389925504737e-07,0.601059159525092,1.57079393714646,3.27994349411002,3.27994349411002,0.306423473235292
0.8,3.65058551641465e-07,0.590191113528355,1.57079393714646,3.29994204524104,3.29994204524104,0.311729143823769
0.82,4.32882552769034e-07,0.589163210670424,1.57079393714646,3.31994059637207,3.31994059637207,0.31695099298983
0.84,5.27551428919165e-07,0.58748989918582,1.57079393714646,3.33993914750309,3.33993914750309,0.322091069303556
0.86,6.58203078386206e-07,0.584711776902044,1.57079393714646,3.35993769863412,3.35993769863412,0.327151351904851
0.88,8.37193014514453e-07,0.580876194522306,1.57079393714646,3.37993624976515,3.37993624976515,0.332133754493802
0.9,1.02508689441341e-06,0.576034274440009,1.57079393714646,3.39993480089617,3.39993480089617,0.337040128105216
0.92,1.03866450569891e-06,0.570240288586869,1.57079393714646,3.4199333520272,3.4199333520272,0.341872263740203
0.94,1.07888397384699e-06,0.56355105434177,1.57079393714646,3.43993190315823,3.43993190315823,0.346631894863664
0.96,1.1503787448644e-06,0.556025353630196,1.57079393714646,3.45993045428925,3.45993045428925,0.351320699776016
0.98,1.25967452430933e-06,0.547723379509071,1.57079393714646,3.47992900542028,3.47992900542028,0.355940303866942
1,1.41573568846944e-06,0.538706213731597,1.57079393714646,3.4999275565513,3.4999275565513,0.360492281758521
1.02,1.63065637057339e-06,0.537824498943592,1.57079393714646,3.51992610768233,3.51992610768233,0.364978157393115
1.04,1.92052406849563e-06,0.536439174138709,1.57079393714646,3.53992465881336,3.53992465881336,0.369399411500109
1.06,2.30648689827118e-06,0.534133300573688,1.57079393714646,3.55992320994438,3.55992320994438,0.373757478061149
1.08,2.8160587972336e-06,0.530942735054739,1.57079393714646,3.57992176107541,3.57992176107541,0.378053747841167
1.1,3.32143959315007e-06,0.526906375844527,1.57079393714646,3.59992031220643,3.59992031220643,0.382289570056935
1.12,3.36227789634739e-06,0.522065721519068,1.57079393714646,3.61991886333746,3.61991886333746,0.386466253967929
1.14,3.47566811900581e-06,0.516464438329408,1.57079393714646,3.63991741446849,3.63991741446849,0.390585070393985
1.16,3.67173682768729e-06,0.51014793978761,1.57079393714646,3.65991596559951,3.65991596559951,0.394647253163941
1.18,3.96448980918232e-06,0.503162981698337,1.57079393714647,3.67991451673054,3.67991451673054,0.398654000499339
1.2,4.37272165638864e-06,0.495557275369131,1.57079393714646,3.69991306786156,3.69991306786156,0.402606476337072
1.22,4.92112552665419e-06,0.494796227258856,1.57079393714647,3.71991161899259,3.71991161899259,0.406505808619709
1.24,5.64163184424422e-06,0.493629520956858,1.57079393714647,3.73991017012362,3.73991017012362,0.41035309899256
1.26,6.57500659269464e-06,0.491683704195739,1.57079393714646,3.75990872125464,3.75990872125464,0.414149415663929
1.28,7.77274133296743e-06,0.488986603708068,1.57079393714647,3.77990727238567,3.77990727238567,0.417895797251879
1.3,8.92198483639427e-06,0.485568524974769,1.57079393714647,3.79990582351669,3.79990582351669,0.421593253833333
1.32,9.02077883831763e-06,0.481461930737855,1.57079393714647,3.81990437464772,3.81990437464772,0.425242767948897
1.34,9.28419117586552e-06,0.476701123135031,1.57079393714647,3.83990292577875,3.83990292577875,0.428845295565823
1.36,9.73084928982843e-06,0.471321932169318,1.57079393714647,3.85990147690977,3.85990147690977,0.432401767001407
1.38,1.03862114992329e-05,0.465361412920683,1.57079393714647,3.8799000280408,3.8799000280408,0.435913087809142
1.4,1.12838716362559e-05,0.458857553600754,1.57079393714647,3.89989857917182,3.89989857917182,0.439380139629891
1.42,1.24671069558012e-05,0.458195983699721,1.57079393714647,3.91989713030285,3.91989713030285,0.44280377676158
1.44,1.39906944714894e-05,0.457199378598254,1.57079393714647,3.93989568143388,3.93989568143388,0.446184839139568
1.46,1.59230212033997e-05,0.455534657255182,1.57079393714647,3.9598942325649,3.9598942325649,0.449524141132032
1.48,1.83485136297932e-05,0.453223860275211,1.57079393714647,3.97989278369593,3.97989278369593,0.452822476225705
1.5,2.06353002568671e-05,0.450291070286279,1.57079393714647,3.99989133482695,3.99989133482695,0.456080617709793
1.52,2.08378495485251e-05,0.446762172100666,1.57079393714647,4.01988988595798,4.01988988595798,0.459299319333873
1.54,2.13645783506549e-05,0.442664613968039,1.57079393714647,4.03988843708901,4.03988843708901,0.462479315941139
1.56,2.22455067092647e-05,0.438027171921762,1.57079393714647,4.05988698822003,4.05988698822003,0.465621324078369
1.58,2.35213686518317e-05,0.432879719026499,1.57079393714647,4.07988553935106,4.07988553935106,0.468726042584008
1.6,2.52452815453344e-05,0.427253001138788,1.57079393714647,4.09988409048209,4.09988409048209,0.471794153155852
1.62,2.74846837819635e-05,0.42667378594113,1.57079393714647,4.11988264161311,4.11988264161311,0.474826315147644
1.64,3.03235591256217e-05,0.42581226159231,1.57079393714647,4.13988119274414,4.13988119274414,0.477823182688486
1.66,3.38649650966005e-05,0.424371361468062,1.57079393714647,4.15987974387516,4.15987974387516,0.480785388877947
1.68,3.82338812707994e-05,0.422368847859824,1.57079393714647,4.17987829500619,4.17987829500619,0.483713551694692
1.7,4.23213988844832e-05,0.419824182722838,1.57079393714647,4.19987684613722,4.19987684613722,0.486608274455979
1.72,4.26870035778655e-05,0.416758345095674,1.57079393714647,4.21987539726824,4.21987539726824,0.48947014626168
1.74,4.36237275027667e-05,0.413193648307994,1.57079393714647,4.23987394839927,4.23987394839927,0.492299742423636
1.76,4.51752145300893e-05,0.409153558471888,1.57079393714647,4.25987249953029,4.25987249953029,0.495097624881193
1.78,4.74004722119705e-05,0.404662515627272,1.57079393714647,4.27987105066132,4.27987105066132,0.497864342603883
1.8,5.03758245925994e-05,0.399745758782922,1.57079393714647,4.29986960179235,4.29986960179235,0.500600431982243
1.82,5.41971396565214e-05,0.399235162461835,1.57079393714647,4.31986815292337,4.31986815292337,0.503306409752797
1.84,5.89823414174449e-05,0.398482771220848,1.57079393714647,4.3398667040544,4.3398667040544,0.505982794953207
1.86,6.4874214822521e-05,0.397223090666951,1.57079393714647,4.35986525518542,4.35986525518542,0.508630088000611
1.88,7.2043509335284e-05,0.395470649500314,1.57079393714647,4.37986380631645,4.37986380631645,0.511248778115584
1.9,7.87409919848168e-05,0.393241404781947,1.57079393714647,4.39986235744748,4.39986235744748,0.513839343638878
1.92,7.93383712708442e-05,0.390552600472849,1.57079393714647,4.4198609085785,4.4198609085785,0.516402252339073
1.94,8.08564842121214e-05,0.387422625112465,1.57079393714647,4.43985945970953,4.43985945970953,0.518937961711632
