# t b1 d1 e1 b2 d2 e2 b3 d3 e3 
0.0286667 0.00859474 -0.0582074 0.0190729 0.0051375 -0.162594 0.0326552 0.00141515 -0.175143 0.0121145
0.0288333 0.00858504 -0.0581646 0.0190306 0.00511046 -0.161892 0.0323247 0.00138616 -0.172808 0.0117311
0.029 0.00857535 -0.0581214 0.0189883 0.00508354 -0.161189 0.0319971 0.00135755 -0.170489 0.0113579
0.0291667 0.00856567 -0.0580776 0.0189461 0.00505673 -0.160487 0.0316724 0.00132933 -0.168187 0.0109946
0.0293333 0.00855599 -0.0580333 0.0189039 0.00503004 -0.159784 0.0313505 0.00130149 -0.165901 0.010641
0.0295 0.00854632 -0.0579885 0.0188618 0.00500347 -0.159081 0.0310314 0.00127403 -0.163631 0.010297
0.0296667 0.00853666 -0.0579432 0.0188198 0.00497701 -0.158379 0.0307151 0.00124695 -0.161378 0.0099624
0.0298333 0.00852701 -0.0578975 0.0187778 0.00495068 -0.157677 0.0304016 0.00122024 -0.159141 0.0096369
0.03 0.00851736 -0.0578513 0.0187359 0.00492446 -0.156975 0.0300908 0.0011939 -0.156922 0.00932036
0.0301667 0.00850773 -0.0578047 0.0186941 0.00489835 -0.156273 0.0297828 0.00116793 -0.154719 0.00901259
0.0303333 0.0084981 -0.0577576 0.0186523 0.00487236 -0.155572 0.0294776 0.00114233 -0.152533 0.00871341
0.0305 0.00848847 -0.0577102 0.0186106 0.00484649 -0.154871 0.0291751 0.00111708 -0.150365 0.00842261
0.0306667 0.00847886 -0.0576623 0.018569 0.00482074 -0.154171 0.0288753 0.0010922 -0.148214 0.00814002
0.0308333 0.00846925 -0.0576141 0.0185274 0.0047951 -0.153471 0.0285782 0.00106768 -0.14608 0.00786546
0.031 0.00845965 -0.0575655 0.0184859 0.00476958 -0.152772 0.0282838 0.00104351 -0.143964 0.00759874
0.0311667 0.00845006 -0.0575165 0.0184445 0.00474418 -0.152074 0.0279921 0.00101969 -0.141866 0.0073397
0.0313333 0.00844048 -0.0574671 0.0184032 0.00471889 -0.151376 0.0277031 0.000996221 -0.139785 0.00708815
0.0315 0.00843091 -0.0574175 0.0183619 0.00469372 -0.15068 0.0274167 0.000973096 -0.137722 0.00684393
0.0316667 0.00842134 -0.0573674 0.0183207 0.00466867 -0.149984 0.0271329 0.000950314 -0.135677 0.00660686
